tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
0,2026-01-19T15:53:50.934748,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0.0,0,0
10000,2026-01-19T15:53:53.118170,1161,101,710,398,770,0.3808666666666667,0.0009132,0.24336257631257632,0.202,1.218,1.42,0.326,1.996,2.322,0.122,0.674,0.796,0.3808666666666667,18.264,1.8264e-06,1.54,4.222,0.0,0.24336257631257632,101,609,710,398,9132,0,3,454,0,1,0,8,0,3,31,0,50.802,121,308
20000,2026-01-19T15:53:55.127130,2402,205,1483,817,1595,0.5486008380508381,0.0018379,0.28988248118410653,0.41,2.556,2.966,0.686,4.118,4.804,0.276,1.358,1.634,0.5486008380508381,36.758,3.6758e-06,3.19,7.76,0.0,0.28988248118410653,205,1278,1483,817,18379,0,4,457,1,6,0,7,0,2,23,0,79.034,180,458
30000,2026-01-19T15:53:57.067433,3506,303,2153,1210,2342,0.6145305812608445,0.0027734,0.3132124874123267,0.606,3.7,4.306,0.968,6.044,7.012,0.362,2.058,2.42,0.6145305812608445,55.468,5.5468e-06,4.684,10.938,0.0,0.3132124874123267,303,1850,2153,1210,27734,0,4,450,0,5,0,13,0,4,24,0,148.06,180,462
40000,2026-01-19T15:53:59.021208,4652,396,2850,1608,3134,0.6550363916699056,0.0036984,0.3143003105126266,0.792,4.908,5.7,1.296,8.008,9.304,0.504,2.712,3.216,0.6550363916699056,73.968,7.3968e-06,6.268,14.304,0.0,0.3143003105126266,396,2454,2850,1608,36984,0,7,454,0,1,0,6,0,4,28,0,50.626,121,379
50000,2026-01-19T15:54:01.134493,5777,490,3543,2002,3891,0.6554250393596921,0.0046263,0.3174893661917524,0.98,6.106,7.086,1.614,9.94,11.554,0.632,3.372,4.004,0.6554250393596921,92.526,9.2526e-06,7.782,17.552,0.0,0.3174893661917524,490,3053,3543,2002,46263,0,5,463,0,3,0,10,0,5,14,0,64.756,103,458
60000,2026-01-19T15:54:03.232973,6940,589,4257,2410,4671,0.6516679269746122,0.0055642,0.32121253158758073,1.178,7.336,8.514,1.95,11.93,13.88,0.772,4.048,4.82,0.6516679269746122,111.284,1.11284e-05,9.342,20.858,0.0,0.32121253158758073,589,3668,4257,2410,55642,0,9,449,1,3,0,13,0,5,20,0,82.586,180,414
70000,2026-01-19T15:54:05.234203,8089,689,4962,2812,5451,0.6524470399010208,0.006488,0.3297544822143482,1.378,8.546,9.924,2.26,13.918,16.178,0.882,4.742,5.624,0.6524470399010208,129.76,1.2975999999999999e-05,10.902,24.166,0.0,0.3297544822143482,689,4273,4962,2812,64880,0,3,445,0,5,0,9,0,5,33,0,109.486,177,458
80000,2026-01-19T15:54:07.208558,9245,790,5674,3207,6221,0.6430050919371307,0.007413,0.3320149974430488,1.58,9.768,11.348,2.584,15.906,18.49,1.004,5.41,6.414,0.6430050919371307,148.26,1.4826e-05,12.442,27.482,0.0,0.3320149974430488,790,4884,5674,3207,74130,0,3,453,0,7,0,10,0,6,21,0,123.696,176,471
90000,2026-01-19T15:54:09.172303,10400,889,6387,3603,6994,0.6407183922199818,0.0083361,0.33420752251643693,1.778,10.996,12.774,2.924,17.876,20.8,1.144,6.062,7.206,0.6407183922199818,166.722,1.6672200000000003e-05,13.988,30.768,0.0,0.33420752251643693,889,5498,6387,3603,83361,0,5,447,0,2,0,12,0,5,29,0,115.39,156,468
100000,2026-01-19T15:54:11.218502,11529,989,7083,3992,7747,0.6339235923757731,0.0092656,0.33638312826171324,1.978,12.188,14.166,3.254,19.804,23.058,1.276,6.708,7.984,0.6339235923757731,185.312,1.85312e-05,15.494,33.998,0.0,0.33638312826171324,989,6094,7083,3992,92656,0,6,453,0,2,0,6,0,6,27,0,58.998,178,387
110000,2026-01-19T15:54:13.201987,12678,1089,7796,4393,8510,0.6389362152720013,0.0101935,0.34021931842607567,2.178,13.414,15.592,3.582,21.774,25.356,1.402,7.384,8.786,0.6389362152720013,203.87,2.0387e-05,17.02,37.29,0.0,0.34021931842607567,1089,6707,7796,4393,101935,0,2,458,0,5,0,10,0,5,20,0,98.356,117,471
120000,2026-01-19T15:54:15.150624,13803,1190,8495,4777,9261,0.6319087631409697,0.011118,0.34096519314418516,2.38,14.61,16.99,3.896,23.71,27.606,1.514,8.04,9.554,0.6319087631409697,222.36,2.2236e-05,18.522,40.51,0.0,0.34096519314418516,1190,7305,8495,4777,111180,0,4,458,0,0,0,8,0,6,24,0,49.626,113,368
130000,2026-01-19T15:54:17.091959,14939,1285,9192,5175,10032,0.628092327391503,0.0120445,0.3415472800100663,2.57,15.814,18.384,4.222,25.656,29.878,1.65,8.7,10.35,0.628092327391503,240.89,2.4089e-05,20.064,43.782,0.0,0.3415472800100663,1285,7907,9192,5175,120445,0,3,459,0,0,0,10,0,5,23,0,42.804,114,409
140000,2026-01-19T15:54:19.041722,16114,1390,9914,5574,10803,0.6289919865067041,0.0129671,0.3429203516062885,2.78,17.048,19.828,4.572,27.656,32.228,1.792,9.356,11.148,0.6289919865067041,259.342,2.59342e-05,21.606,47.084,0.0,0.3429203516062885,1390,8524,9914,5574,129671,0,5,457,0,4,0,7,0,7,20,0,102.926,141,452
150000,2026-01-19T15:54:20.977593,17234,1492,10596,5962,11555,0.6251798363427511,0.0138977,0.34384089971886056,2.984,18.208,21.192,4.882,29.586,34.468,1.896,10.028,11.924,0.6251798363427511,277.954,2.77954e-05,23.11,50.286,0.0,0.34384089971886056,1492,9104,10596,5962,138977,0,6,454,0,3,0,9,0,5,23,0,104.9,163,458
160000,2026-01-19T15:54:22.949715,18327,1587,11260,6332,12293,0.626448650510742,0.014819,0.3446011215416386,3.174,19.346,22.52,5.186,31.468,36.654,2.01,10.654,12.664,0.626448650510742,296.38,2.9638e-05,24.586,53.442,0.0,0.3446011215416386,1587,9673,11260,6332,148190,0,3,459,0,5,0,6,0,3,24,0,94.556,133,443
170000,2026-01-19T15:54:24.921790,19468,1679,11960,6737,13056,0.6247706355783094,0.0157553,0.3460522132721978,3.358,20.562,23.92,5.534,33.402,38.936,2.176,11.298,13.474,0.6247706355783094,315.106,3.15106e-05,26.112,56.688,0.0,0.3460522132721978,1679,10281,11960,6737,157553,0,3,455,0,6,0,12,0,6,18,0,125.902,178,434
180000,2026-01-19T15:54:27.028900,20649,1778,12689,7144,13854,0.6247658923005465,0.0166799,0.3468362650098832,3.556,21.822,25.378,5.874,35.424,41.298,2.316,11.972,14.288,0.6247658923005465,333.598,3.33598e-05,27.708,60.08,0.0,0.3468362650098832,1778,10911,12689,7144,166799,0,6,452,0,4,0,11,0,6,21,0,106.826,157,439
190000,2026-01-19T15:54:29.229098,21740,1877,13349,7536,14591,0.6291498040975166,0.0176183,0.34853103356975396,3.754,22.944,26.698,6.172,37.308,43.48,2.416,12.656,15.072,0.6291498040975166,352.366,3.52366e-05,29.182,63.23,0.0,0.34853103356975396,1877,11472,13349,7536,176183,0,7,458,0,2,0,13,0,6,14,0,54.904,151,359
200000,2026-01-19T15:54:31.287941,22890,1976,14062,7932,15360,0.6235651928386069,0.0185436,0.3488026328214892,3.952,24.172,28.124,6.522,39.258,45.78,2.568,13.296,15.864,0.6235651928386069,370.872,3.70872e-05,30.72,66.504,0.0,0.3488026328214892,1976,12086,14062,7932,185436,0,7,458,0,0,0,7,0,5,23,0,16.36,87,165
210000,2026-01-19T15:54:33.419379,23991,2077,14734,8322,16095,0.6242358587710563,0.0194797,0.34925260316031514,4.154,25.314,29.468,6.816,41.166,47.982,2.662,13.982,16.644,0.6242358587710563,389.594,3.89594e-05,32.19,69.644,0.0,0.34925260316031514,2077,12657,14734,8322,194797,0,4,449,1,5,0,12,0,3,26,0,135.864,181,460
220000,2026-01-19T15:54:35.572744,25139,2174,15428,8720,16887,0.6228745703595159,0.0203954,0.3505075370580799,4.348,26.508,30.856,7.102,43.176,50.278,2.754,14.686,17.44,0.6228745703595159,407.908,4.07908e-05,33.774,73.026,0.0,0.3505075370580799,2174,13254,15428,8720,203954,0,9,456,0,5,0,10,0,3,17,0,52.364,117,469
