tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_current_retry_count,nodes_max_retry_count,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_avg_busy_ratio,nodes_avg_collision_ratio,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
0,2026-01-17T13:38:21.734500,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.03,0.03,0.03,0.0,0.0,100,0,0,0,0,0,0,0,0,0,0,0.0,0,0
10000,2026-01-17T13:38:25.019856,740,123,545,194,296,0.3755382395382395,9.371e-05,0.24131985171691053,1.23,4.22,5.45,1.7,5.7,7.4,0.46,1.48,1.94,0.3755382395382395,93.71,9.371e-07,2.96,0.0,0.0,0.24131985171691053,123,422,545,194,9371,1.59,4,0.012214380641230023,0.00999837585282919,0.02698202417072639,0.9856,0.9383877268959209,0,12,82,0,0,0,2,0,4,0,0,48.43,129,58
20000,2026-01-17T13:38:27.933662,1421,243,1065,355,545,0.3735714050893567,0.00018765,0.24347873751830715,2.43,8.22,10.65,3.21,11.0,14.21,0.77,2.78,3.55,0.3735714050893567,187.65,1.8765000000000002e-06,5.45,0.0,0.0,0.24347873751830715,243,822,1065,355,18765,1.57,4,0.010718104241713579,0.00999837585282919,0.022728689554720807,0.9869,0.9326747542431506,0,11,80,0,1,0,4,0,4,0,0,58.1,113,77
30000,2026-01-17T13:38:31.620022,2083,369,1581,501,761,0.3561095504360993,0.00028223,0.24346310939817248,3.69,12.12,15.81,4.83,16.0,20.83,1.13,3.88,5.01,0.3561095504360993,282.23,2.8223e-06,7.61,0.0,0.0,0.24346310939817248,369,1212,1581,501,28223,1.73,4,0.01032373021653845,0.00999837585282919,0.01890794053932033,0.985,0.9279423114166748,1,13,81,0,0,0,2,0,3,0,0,50.89,117,63
40000,2026-01-17T13:38:34.330536,2761,491,2107,654,993,0.35041419808511604,0.00037667,0.244471970558031,4.91,16.16,21.07,6.39,21.22,27.61,1.48,5.06,6.54,0.35041419808511604,376.67,3.7667000000000003e-06,9.93,0.0,0.0,0.244471970558031,491,1616,2107,654,37667,1.77,4,0.010151106252332726,0.00999837585282919,0.016314349874037008,0.9867999999999999,0.9267682681581145,0,9,82,1,1,0,2,0,5,0,0,78.84,181,84
50000,2026-01-17T13:38:36.592809,3432,614,2624,808,1227,0.34211324176369173,0.0004708,0.24191738744900715,6.14,20.1,26.24,8.02,26.3,34.32,1.88,6.2,8.08,0.34211324176369173,470.8,4.708e-06,12.27,0.0,0.0,0.24191738744900715,614,2010,2624,808,47080,1.6,4,0.010101643884277797,0.00999837585282919,0.014260756223494651,0.9795,0.9246598094042483,0,8,88,0,1,0,0,1,2,0,0,31.69,124,36
60000,2026-01-17T13:38:38.744767,4087,733,3130,956,1447,0.3430795361690334,0.00056514,0.24448741514315817,7.33,23.97,31.3,9.53,31.34,40.87,2.19,7.37,9.56,0.3430795361690334,565.14,5.6514e-06,14.47,0.0,0.0,0.24448741514315817,733,2397,3130,956,56514,1.66,4,0.01004798718479452,0.00999837585282919,0.012478136820309429,0.9792000000000001,0.9240115054345904,1,6,83,0,1,0,6,0,3,0,0,89.49,167,79
70000,2026-01-17T13:38:40.936614,4733,860,3630,1102,1654,0.3435302509580643,0.00065976,0.24623769536592055,8.6,27.7,36.3,11.08,36.25,47.33,2.47,8.55,11.02,0.3435302509580643,659.76,6.5976e-06,16.54,0.0,0.0,0.24623769536592055,860,2770,3630,1102,65976,1.58,4,0.010007466417636966,0.00999837585282919,0.010907432333606812,0.9858,0.9239962978076371,0,8,84,0,0,0,3,0,5,0,0,47.45,164,62
80000,2026-01-17T13:38:43.081720,5390,988,4139,1251,1864,0.3413422698111866,0.00075418,0.2465045335858945,9.88,31.51,41.39,12.62,41.28,53.9,2.74,9.77,12.51,0.3413422698111866,754.18,7.5418e-06,18.64,0.0,0.0,0.2465045335858945,988,3151,4139,1251,75418,1.9,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9837,0.9240935405239676,0,2,88,0,1,0,4,1,4,0,0,65.52,123,69
90000,2026-01-17T13:38:45.207537,6012,1108,4612,1400,2069,0.3455960760218669,0.00084921,0.24892946313012002,11.08,35.04,46.12,14.07,46.05,60.12,2.99,11.01,14.0,0.3455960760218669,849.21,8.4921e-06,20.69,0.0,0.0,0.24892946313012002,1108,3504,4612,1400,84921,1.62,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9845999999999999,0.9241706789670091,0,3,84,0,1,1,6,0,5,0,0,98.54,175,75
100000,2026-01-17T13:38:47.415835,6672,1232,5128,1543,2281,0.34423309666057167,0.00094329,0.24839353073716455,12.32,38.96,51.28,15.7,51.02,66.72,3.37,12.06,15.43,0.34423309666057167,943.29,9.432899999999999e-06,22.81,0.0,0.0,0.24839353073716455,1232,3896,5128,1543,94329,1.64,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9840000000000001,0.9233896089966288,0,10,80,0,0,0,4,0,6,0,0,85.43,164,83
110000,2026-01-17T13:38:49.838836,7294,1361,5610,1683,2473,0.34710331019129836,0.00103782,0.2491825234229799,13.61,42.49,56.1,17.15,55.79,72.94,3.53,13.3,16.83,0.34710331019129836,1037.82,1.03782e-05,24.73,0.0,0.0,0.2491825234229799,1361,4249,5610,1683,103782,1.83,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9862000000000001,0.9258916366377167,0,13,83,0,1,0,1,0,2,0,0,39.75,121,47
120000,2026-01-17T13:38:52.019205,8011,1488,6151,1859,2741,0.3512716961167471,0.00113261,0.25101078502897634,14.88,46.63,61.51,18.74,61.37,80.11,3.85,14.74,18.59,0.3512716961167471,1132.61,1.13261e-05,27.41,0.0,0.0,0.25101078502897634,1488,4663,6151,1859,113261,1.57,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9849,0.9241143675906397,1,12,81,0,0,0,1,0,5,0,0,80.32,171,68
130000,2026-01-17T13:38:54.140898,8722,1615,6686,2035,3010,0.3519863824119509,0.00122618,0.25177232736113764,16.15,50.71,66.86,20.33,66.89,87.22,4.17,16.18,20.35,0.3519863824119509,1226.18,1.2261799999999998e-05,30.1,0.0,0.0,0.25177232736113764,1615,5071,6686,2035,122618,1.85,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9861,0.9213004092386591,0,13,81,0,0,0,2,0,4,0,0,29.66,87,50
140000,2026-01-17T13:38:56.352293,9364,1747,7185,2178,3205,0.35247443487806135,0.00132153,0.25208194792353256,17.47,54.38,71.85,21.85,71.79,93.64,4.37,17.41,21.78,0.35247443487806135,1321.53,1.32153e-05,32.05,0.0,0.0,0.25208194792353256,1747,5438,7185,2178,132153,1.61,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9881,0.9201390992832592,0,3,92,0,0,0,1,0,4,0,0,67.66,172,60
150000,2026-01-17T13:38:58.578334,9977,1869,7661,2315,3397,0.3528533642140593,0.00141582,0.25237870920534666,18.69,57.92,76.61,23.24,76.53,99.77,4.54,18.61,23.15,0.3528533642140593,1415.82,1.41582e-05,33.97,0.0,0.0,0.25237870920534666,1869,5792,7661,2315,141582,1.68,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9833,0.9247770480644665,0,2,92,0,0,0,1,0,5,0,0,53.61,116,63
160000,2026-01-17T13:39:00.758890,10630,1994,8163,2466,3622,0.3514749838897873,0.00151064,0.25212008576407346,19.94,61.69,81.63,24.74,81.56,106.3,4.79,19.87,24.66,0.3514749838897873,1510.64,1.51064e-05,36.22,0.0,0.0,0.25212008576407346,1994,6169,8163,2466,151064,1.66,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9837,0.9249331970754143,0,5,91,0,0,0,1,0,3,0,0,48.19,137,53
