tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav,cluster_0_send_probability,cluster_0_n_nodes,cluster_0_avg_packet_sent,cluster_0_avg_packet_loss,cluster_0_avg_packet_loss_pct,cluster_0_total_throughput,cluster_0_avg_throughput_per_node,cluster_0_avg_timeout_retry,cluster_0_avg_cw_enters,cluster_0_avg_cw_increase,cluster_0_cw_increase_ratio,cluster_1_send_probability,cluster_1_n_nodes,cluster_1_avg_packet_sent,cluster_1_avg_packet_loss,cluster_1_avg_packet_loss_pct,cluster_1_total_throughput,cluster_1_avg_throughput_per_node,cluster_1_avg_timeout_retry,cluster_1_avg_cw_enters,cluster_1_avg_cw_increase,cluster_1_cw_increase_ratio,cluster_2_send_probability,cluster_2_n_nodes,cluster_2_avg_packet_sent,cluster_2_avg_packet_loss,cluster_2_avg_packet_loss_pct,cluster_2_total_throughput,cluster_2_avg_throughput_per_node,cluster_2_avg_timeout_retry,cluster_2_avg_cw_enters,cluster_2_avg_cw_increase,cluster_2_cw_increase_ratio,cluster_throughput_variance,cluster_throughput_max_min_ratio,jain_fairness_index
0,2026-01-18T12:56:07.318641,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0.0,0,0,N/A,34,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,N/A,33,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,N/A,33,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,inf,0
10000,2026-01-18T12:56:07.691536,533,106,451,72,126,0.1488260628260628,8.217e-05,0.11217446150340887,1.06,3.45,4.51,1.19,4.14,5.33,0.12,0.6,0.72,0.1488260628260628,82.17,8.216999999999999e-07,1.26,5.18,0.0,0.11217446150340887,106,345,451,72,8217,0,1,93,0,0,0,1,0,2,3,0,121.86,142,94,N/A,34,4.382352941176471,0.9117647058823529,0.17515262515262517,2622,77.11764705882354,1.588235294117647,5.705882352941177,0.0,0.0,N/A,33,4.787878787878788,0.696969696969697,0.17567449385631204,2736,82.9090909090909,1.0,4.9393939393939394,0.0,0.0,N/A,33,4.363636363636363,0.5454545454545454,0.09485329485329486,2859,86.63636363636364,1.1818181818181819,4.878787878787879,0.0,0.0,9366.0,1.0903890160183067,0.9987531097371266
20000,2026-01-18T12:56:08.074407,1048,214,892,142,237,0.17183234202158348,0.00016573,0.12851190310377616,2.14,6.78,8.92,2.37,8.11,10.48,0.23,1.19,1.42,0.17183234202158348,165.73,1.6573e-06,2.37,9.1,0.0,0.12851190310377616,214,678,892,142,16573,0,6,87,0,1,0,0,0,1,5,0,15.15,92,67,N/A,34,8.941176470588236,1.6176470588235294,0.2023361394468661,5629,165.55882352941177,2.9705882352941178,9.970588235294118,0.0,0.0,N/A,33,8.848484848484848,1.5454545454545454,0.19560922588997456,4912,148.84848484848484,1.9393939393939394,8.424242424242424,0.0,0.0,N/A,33,8.969696969696969,1.0909090909090908,0.11662730323017403,6032,182.78787878787878,2.1818181818181817,8.878787878787879,0.0,0.0,214544.22222222222,1.228013029315961,0.993019048011266
30000,2026-01-18T12:56:08.449041,1576,326,1351,208,338,0.16257031233337937,0.00025019,0.13075876995381638,3.26,10.25,13.51,3.6,12.16,15.76,0.34,1.74,2.08,0.16257031233337937,250.19,2.5019e-06,3.38,13.02,0.0,0.13075876995381638,326,1025,1351,208,25019,0,2,93,0,1,0,2,0,2,0,0,29.62,81,95,N/A,34,14.352941176470589,2.588235294117647,0.1879218919964745,9166,269.5882352941176,4.294117647058823,14.794117647058824,0.0,0.0,N/A,33,12.606060606060606,2.0,0.1679601820503875,6749,204.5151515151515,2.696969696969697,11.696969696969697,0.0,0.0,N/A,33,13.545454545454545,1.6363636363636365,0.13106063326651562,9104,275.8787878787879,3.121212121212121,12.515151515151516,0.0,0.0,1265750.888888889,1.3581271299451771,0.9821261491114476
40000,2026-01-18T12:56:08.834061,2098,431,1801,277,456,0.1660416853972925,0.00033287,0.13532530634752782,4.31,13.7,18.01,4.78,16.2,20.98,0.47,2.3,2.77,0.1660416853972925,332.87,3.3286999999999996e-06,4.56,17.12,0.0,0.13532530634752782,431,1370,1801,277,33287,0,2,91,1,2,0,1,0,2,1,0,121.32,180,70,N/A,34,19.264705882352942,3.176470588235294,0.18395415443989818,12692,373.29411764705884,5.352941176470588,18.88235294117647,0.0,0.0,N/A,33,16.484848484848484,2.8484848484848486,0.18349267471099603,8351,253.06060606060606,3.787878787878788,15.393939393939394,0.0,0.0,N/A,33,18.242424242424242,2.272727272727273,0.1301354249487832,12244,371.030303030303,4.515151515151516,17.03030303030303,0.0,0.0,3800048.2222222225,1.5198179858699556,0.9700580534495713
50000,2026-01-18T12:56:09.204717,2631,541,2260,347,574,0.1606183217223883,0.00041572,0.13310002539197088,5.41,17.19,22.6,6.03,20.28,26.31,0.62,2.85,3.47,0.1606183217223883,415.72,4.1572e-06,5.74,21.24,0.0,0.13310002539197088,541,1719,2260,347,41572,0,1,93,1,1,0,0,0,1,3,0,98.66,180,91,N/A,34,24.205882352941178,3.8823529411764706,0.16940466465508855,15716,462.2352941176471,6.647058823529412,23.441176470588236,0.0,0.0,N/A,33,20.575757575757574,3.515151515151515,0.17614577283367078,10339,313.3030303030303,4.818181818181818,19.0,0.0,0.0,N/A,33,22.96969696969697,3.0,0.13603827486226316,15517,470.2121212121212,5.7272727272727275,21.21212121212121,0.0,0.0,6195934.888888889,1.5200696392300996,0.9687423862928087
60000,2026-01-18T12:56:09.578036,3178,649,2724,423,706,0.16145533230739073,0.00049552,0.134368986544233,6.49,20.75,27.24,7.23,24.55,31.78,0.74,3.49,4.23,0.16145533230739073,495.52,4.9552000000000004e-06,7.06,25.65,0.0,0.134368986544233,649,2075,2724,423,49552,1,2,89,0,1,0,3,0,1,3,0,46.89,129,97,N/A,34,28.764705882352942,4.529411764705882,0.16789460513372448,18387,540.7941176470588,8.058823529411764,27.764705882352942,0.0,0.0,N/A,33,25.363636363636363,4.515151515151516,0.17808618095886655,12750,386.3636363636364,6.03030303030303,23.393939393939394,0.0,0.0,N/A,33,27.545454545454547,3.6363636363636362,0.13819008134999528,18415,558.030303030303,7.0606060606060606,25.727272727272727,0.0,0.0,7096530.888888888,1.444313725490196,0.9746478975527081
70000,2026-01-18T12:56:09.959879,3716,756,3182,497,835,0.15962468084588996,0.00057886,0.13360882802511084,7.56,24.26,31.82,8.46,28.7,37.16,0.9,4.07,4.97,0.15962468084588996,578.86,5.788600000000001e-06,8.35,29.95,0.0,0.13360882802511084,756,2426,3182,497,57886,0,5,90,0,0,0,1,0,1,3,0,28.32,100,96,N/A,34,33.794117647058826,5.5588235294117645,0.17214061509130807,21779,640.5588235294117,9.823529411764707,33.029411764705884,0.0,0.0,N/A,33,29.333333333333332,5.0606060606060606,0.17067384959523707,14602,442.4848484848485,6.9393939393939394,26.87878787878788,0.0,0.0,N/A,33,32.27272727272727,4.2727272727272725,0.1356803071164151,21505,651.6666666666666,8.242424242424242,29.848484848484848,0.0,0.0,11026201.555555554,1.4915080126010136,0.9712362027912489
80000,2026-01-18T12:56:10.348965,4262,865,3643,571,967,0.1592829062411865,0.00066057,0.13356182270944536,8.65,27.78,36.43,9.66,32.96,42.62,1.01,4.7,5.71,0.1592829062411865,660.57,6.6057e-06,9.67,34.4,0.0,0.13356182270944536,865,2778,3643,571,66057,0,1,95,0,0,0,1,0,0,3,0,19.64,91,98,N/A,34,39.38235294117647,6.0588235294117645,0.1583137922337004,25293,743.9117647058823,10.911764705882353,37.529411764705884,0.0,0.0,N/A,33,33.24242424242424,6.090909090909091,0.18245602533360558,16571,502.1515151515151,8.212121212121213,31.03030303030303,0.0,0.0,N/A,33,36.57575757575758,4.96969696969697,0.1371082682473894,24193,733.1212121212121,9.848484848484848,34.54545454545455,0.0,0.0,15042018.666666666,1.526341198479271,0.9699086432249838
90000,2026-01-18T12:56:10.757655,4783,972,4086,646,1082,0.1602228577659951,0.00074549,0.13425172715989678,9.72,31.14,40.86,10.81,37.02,47.83,1.09,5.37,6.46,0.1602228577659951,745.49,7.4549e-06,10.82,38.43,0.0,0.13425172715989678,972,3114,4086,646,74549,1,2,86,0,2,0,2,0,2,5,0,96.24,121,88,N/A,34,44.294117647058826,6.882352941176471,0.15925485952972263,28626,841.9411764705883,12.147058823529411,41.911764705882355,0.0,0.0,N/A,33,37.03030303030303,7.0,0.18754090436928003,18536,561.6969696969697,9.272727272727273,34.78787878787879,0.0,0.0,N/A,33,41.15151515151515,5.484848484848484,0.13390214267886968,27387,829.9090909090909,11.0,38.484848484848484,0.0,0.0,20187046.888888888,1.5443461372464393,0.9683436269310401
