tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_current_retry_count,nodes_max_retry_count,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_avg_busy_ratio,nodes_avg_collision_ratio,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav,cluster_0_send_probability,cluster_0_n_nodes,cluster_0_avg_packet_sent,cluster_0_avg_packet_loss,cluster_0_avg_packet_loss_pct,cluster_0_total_throughput,cluster_0_avg_throughput_per_node,cluster_0_avg_timeout_retry,cluster_0_avg_cw_enters,cluster_0_avg_cw_increase,cluster_0_cw_increase_ratio,cluster_0_avg_epsilon,cluster_0_avg_retry_count,cluster_0_avg_busy_ratio,cluster_0_avg_collision_ratio,cluster_1_send_probability,cluster_1_n_nodes,cluster_1_avg_packet_sent,cluster_1_avg_packet_loss,cluster_1_avg_packet_loss_pct,cluster_1_total_throughput,cluster_1_avg_throughput_per_node,cluster_1_avg_timeout_retry,cluster_1_avg_cw_enters,cluster_1_avg_cw_increase,cluster_1_cw_increase_ratio,cluster_1_avg_epsilon,cluster_1_avg_retry_count,cluster_1_avg_busy_ratio,cluster_1_avg_collision_ratio,cluster_2_send_probability,cluster_2_n_nodes,cluster_2_avg_packet_sent,cluster_2_avg_packet_loss,cluster_2_avg_packet_loss_pct,cluster_2_total_throughput,cluster_2_avg_throughput_per_node,cluster_2_avg_timeout_retry,cluster_2_avg_cw_enters,cluster_2_avg_cw_increase,cluster_2_cw_increase_ratio,cluster_2_avg_epsilon,cluster_2_avg_retry_count,cluster_2_avg_busy_ratio,cluster_2_avg_collision_ratio,cluster_throughput_variance,cluster_throughput_max_min_ratio,jain_fairness_index
0,2026-01-18T14:28:37.526440,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.03,0.03,0.03,0.0,0.0,100,0,0,0,0,0,0,0,0,0,0,0.0,0,0,N/A,34,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.03,0.0,0.0,0.0,N/A,33,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.03,0.0,0.0,0.0,N/A,33,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.03,0.0,0.0,0.0,0.0,inf,0
10000,2026-01-18T14:28:39.630637,526,115,464,61,86,0.11962132312132312,8.579e-05,0.09368031968031967,1.15,3.49,4.64,1.23,4.03,5.26,0.07,0.54,0.61,0.11962132312132312,85.79,8.579000000000001e-07,0.86,0.0,0.0,0.09368031968031967,115,349,464,61,8579,1.5,4,0.010960062874063769,0.00999837585282919,0.02698202417072639,0.9947,0.9404136496789057,0,5,89,0,1,0,2,0,3,0,0,128.35,151,95,N/A,34,4.176470588235294,0.7941176470588235,0.17387955182072828,2887,84.91176470588235,1.1176470588235294,0.0,0.0,0,0.010912934151212542,1.4705882352941178,0.9944117647058824,0.93863240621034,N/A,33,3.787878787878788,0.36363636363636365,0.0821319253137435,1896,57.45454545454545,0.5151515151515151,0.0,0.0,0,0.01114653289354763,1.9090909090909092,0.9948484848484848,0.9610865096849078,N/A,33,5.96969696969697,0.6666666666666666,0.10120830348103076,3796,115.03030303030303,0.9393939393939394,0.0,0.0,0,0.010822149720547843,1.121212121212121,0.9948484848484848,0.9215760102162744,602040.2222222221,2.00210970464135,0.9314284185512436
20000,2026-01-18T14:28:42.379758,1048,228,920,127,188,0.1603706138632609,0.00017173,0.11389020503771759,2.28,6.92,9.2,2.44,8.04,10.48,0.15,1.12,1.27,0.1603706138632609,171.73,1.7173e-06,1.88,0.0,0.0,0.11389020503771759,228,692,920,127,17173,1.65,4,0.01038022837971986,0.00999837585282919,0.022001702920042887,0.9953,0.9282153817037552,0,8,89,0,0,0,1,0,2,0,0,60.41,104,79,N/A,34,8.823529411764707,1.7058823529411764,0.21750659471247705,6040,177.64705882352942,2.3823529411764706,0.0,0.0,0,0.010494522716122896,1.8529411764705883,0.9926470588235294,0.926600123676772,N/A,33,8.393939393939394,0.8484848484848485,0.1306761420397784,4251,128.8181818181818,1.2727272727272727,0.0,0.0,0,0.01036211303668415,1.8181818181818181,0.9966666666666667,0.9432365185641385,N/A,33,10.393939393939394,1.2424242424242424,0.13119771147846013,6882,208.54545454545453,1.9696969696969697,0.0,0.0,0,0.01028058592161305,1.2727272727272727,0.9966666666666667,0.9148584500832938,1203516.2222222222,1.6189131968948482,0.964572776386225
30000,2026-01-18T14:28:44.662628,1574,347,1383,190,275,0.14963947489220006,0.00025944,0.11865436849571621,3.47,10.36,13.83,3.66,12.08,15.74,0.19,1.71,1.9,0.14963947489220006,259.44,2.5944e-06,2.75,0.0,0.0,0.11865436849571621,347,1036,1383,190,25944,1.57,4,0.01013497214944806,0.00999837585282919,0.01692097893082142,0.9931,0.9226131661866068,0,8,89,0,1,0,0,0,2,0,0,73.15,120,63,N/A,34,14.617647058823529,2.235294117647059,0.17674077357360032,9897,291.0882352941176,3.2058823529411766,0.0,0.0,0,0.010196523693531979,1.7058823529411764,0.9920588235294117,0.913356732483761,N/A,33,11.575757575757576,1.4242424242424243,0.13288923890528168,5853,177.36363636363637,1.7272727272727273,0.0,0.0,0,0.010208151703677438,1.696969696969697,0.9927272727272727,0.944240335985872,N/A,33,15.272727272727273,2.0303030303030303,0.13846716072252419,10194,308.90909090909093,3.303030303030303,0.0,0.0,0,0.00999837585282919,1.303030303030303,0.9945454545454545,0.9105229280811828,3920714.0,1.7416709379805229,0.9501869795249105
40000,2026-01-18T14:28:47.020945,2100,470,1847,252,350,0.15112166110251846,0.00034833,0.12073566323231162,4.7,13.77,18.47,4.94,16.06,21.0,0.23,2.29,2.52,0.15112166110251846,348.33,3.4832999999999998e-06,3.5,0.0,0.0,0.12073566323231162,470,1377,1847,252,34833,1.56,4,0.010025631198698617,0.00999837585282919,0.012723910439771812,0.9917,0.9189004896250863,0,5,89,0,1,0,3,0,2,0,0,110.23,142,94,N/A,34,19.941176470588236,2.911764705882353,0.16165310650816767,13702,403.0,4.147058823529412,0.0,0.0,0,0.00999837585282919,1.411764705882353,0.9899999999999999,0.9078785091681169,N/A,33,15.454545454545455,2.0,0.1561887053591247,8094,245.27272727272728,2.393939393939394,0.0,0.0,0,0.01008096781000927,1.5757575757575757,0.990909090909091,0.9377950397612554,N/A,33,19.96969696969697,2.6363636363636362,0.13520403673100095,13037,395.06060606060606,3.9393939393939394,0.0,0.0,0,0.00999837585282919,1.696969696969697,0.9942424242424243,0.9113619193536734,6258348.666666667,1.6928589078329628,0.9556377268596323
50000,2026-01-18T14:28:49.378457,2607,587,2296,310,431,0.1461559736693769,0.00043512,0.12062882361588294,5.87,17.09,22.96,6.13,19.94,26.07,0.26,2.84,3.1,0.1461559736693769,435.12,4.3512e-06,4.31,0.0,0.0,0.12062882361588294,587,1709,2296,310,43512,1.62,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9953,0.9186924883526543,0,8,89,0,2,0,1,0,0,0,0,48.3,98,97,N/A,34,25.11764705882353,3.3823529411764706,0.14367383398701325,17539,515.8529411764706,5.029411764705882,0.0,0.0,0,0.00999837585282919,1.6470588235294117,0.996764705882353,0.906270050243604,N/A,33,19.09090909090909,2.6666666666666665,0.15422601995790297,9724,294.6666666666667,2.8484848484848486,0.0,0.0,0,0.00999837585282919,1.5454545454545454,0.9939393939393939,0.9405045420453557,N/A,33,24.606060606060606,3.242424242424242,0.14064328341722554,16249,492.3939393939394,5.03030303030303,0.0,0.0,0,0.00999837585282919,1.6666666666666667,0.9951515151515152,0.9096793102874589,11701550.0,1.8036816125051418,0.9473063526980793
60000,2026-01-18T14:28:51.769413,3118,700,2750,368,519,0.14569518158016437,0.0005201,0.12074669340649237,7.0,20.5,27.5,7.33,23.85,31.18,0.33,3.35,3.68,0.14569518158016437,520.1,5.201e-06,5.19,0.0,0.0,0.12074669340649237,700,2050,2750,368,52010,1.33,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.995,0.9177136169931885,0,9,90,0,1,0,0,0,0,0,0,37.55,115,99,N/A,34,30.470588235294116,3.911764705882353,0.14007488463217163,21294,626.2941176470588,6.088235294117647,0.0,0.0,0,0.00999837585282919,1.3823529411764706,0.9952941176470589,0.9029821421285363,N/A,33,23.09090909090909,3.1818181818181817,0.15256584818661365,11488,348.1212121212121,3.3636363636363638,0.0,0.0,0,0.00999837585282919,1.4242424242424243,0.9948484848484848,0.9415645257005967,N/A,33,28.848484848484848,3.9393939393939394,0.14461512395043494,19228,582.6666666666666,6.090909090909091,0.0,0.0,0,0.00999837585282919,1.1818181818181819,0.9948484848484848,0.9090405914796647,17814843.555555556,1.8535863509749304,0.9440444391432627
70000,2026-01-18T14:28:54.227330,3648,819,3221,426,602,0.14503446384303914,0.00060615,0.12172478419293015,8.19,24.02,32.21,8.57,27.91,36.48,0.37,3.89,4.26,0.14503446384303914,606.15,6.0614999999999995e-06,6.02,0.0,0.0,0.12172478419293015,819,2402,3221,426,60615,1.73,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9958,0.9144666171013707,0,6,90,0,0,0,1,0,3,0,0,74.5,122,96,N/A,34,36.35294117647059,4.617647058823529,0.14076430556917716,24956,734.0,6.970588235294118,0.0,0.0,0,0.00999837585282919,1.6764705882352942,0.9923529411764707,0.899684859330401,N/A,33,27.03030303030303,3.606060606060606,0.1452083520923491,13732,416.1212121212121,4.0,0.0,0.0,0,0.00999837585282919,1.9393939393939394,0.996060606060606,0.9383859383764472,N/A,33,33.121212121212125,4.545454545454546,0.1492601326031628,21927,664.4545454545455,7.0606060606060606,0.0,0.0,0,0.00999837585282919,1.5757575757575757,0.999090909090909,0.9057769856509292,22479004.666666668,1.8173609088260996,0.947810756572385
80000,2026-01-18T14:28:56.670767,4165,939,3679,485,681,0.14190436519711752,0.00069417,0.12019075919319713,9.39,27.4,36.79,9.81,31.84,41.65,0.42,4.43,4.85,0.14190436519711752,694.17,6.9417e-06,6.81,0.0,0.0,0.12019075919319713,939,2740,3679,485,69417,1.41,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9923000000000001,0.9128478328158971,1,14,83,0,1,0,1,0,0,0,0,91.06,178,97,N/A,34,41.64705882352941,5.470588235294118,0.14499982640279746,28895,849.8529411764706,8.058823529411764,0.0,0.0,0,0.00999837585282919,1.3235294117647058,0.9908823529411764,0.8942347484682918,N/A,33,30.90909090909091,3.9393939393939394,0.13405924973610286,15747,477.1818181818182,4.454545454545454,0.0,0.0,0,0.00999837585282919,1.8181818181818181,0.9954545454545455,0.9366146451538732,N/A,33,37.666666666666664,5.121212121212121,0.14656021759773463,24775,750.7575757575758,7.878787878787879,0.0,0.0,0,0.00999837585282919,1.0909090909090908,0.9906060606060605,0.9082581376845447,30149898.666666668,1.8349526894011559,0.9466904890236029
90000,2026-01-18T14:29:00.703126,4668,1054,4119,548,759,0.14083899204678668,0.00078222,0.11983764628365108,10.54,30.65,41.19,11.06,35.62,46.68,0.51,4.97,5.48,0.14083899204678668,782.22,7.822200000000001e-06,7.59,0.0,0.0,0.11983764628365108,1054,3065,4119,548,78222,1.68,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9936,0.9125080371553379,0,12,83,0,1,0,2,0,2,0,0,136.61,167,97,N/A,34,46.38235294117647,6.205882352941177,0.14588025924260198,32390,952.6470588235294,9.029411764705882,0.0,0.0,0,0.00999837585282919,1.7352941176470589,0.9955882352941177,0.894265560057962,N/A,33,34.696969696969695,4.575757575757576,0.13426550078811986,17727,537.1818181818181,5.0,0.0,0.0,0,0.00999837585282919,1.6363636363636365,0.9939393939393939,0.9349591204093438,N/A,33,42.333333333333336,5.636363636363637,0.14221845043703776,28105,851.6666666666666,8.696969696969697,0.0,0.0,0,0.00999837585282919,1.6666666666666667,0.9912121212121212,0.9088522333349919,37896408.666666664,1.8271563152253625,0.9472010940353319
