tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav,cluster_0_send_probability,cluster_0_n_nodes,cluster_0_avg_packet_sent,cluster_0_avg_packet_loss,cluster_0_avg_packet_loss_pct,cluster_0_total_throughput,cluster_0_avg_throughput_per_node,cluster_0_avg_timeout_retry,cluster_0_avg_cw_enters,cluster_0_avg_cw_increase,cluster_0_cw_increase_ratio,cluster_0_avg_epsilon,cluster_1_send_probability,cluster_1_n_nodes,cluster_1_avg_packet_sent,cluster_1_avg_packet_loss,cluster_1_avg_packet_loss_pct,cluster_1_total_throughput,cluster_1_avg_throughput_per_node,cluster_1_avg_timeout_retry,cluster_1_avg_cw_enters,cluster_1_avg_cw_increase,cluster_1_cw_increase_ratio,cluster_1_avg_epsilon,cluster_2_send_probability,cluster_2_n_nodes,cluster_2_avg_packet_sent,cluster_2_avg_packet_loss,cluster_2_avg_packet_loss_pct,cluster_2_total_throughput,cluster_2_avg_throughput_per_node,cluster_2_avg_timeout_retry,cluster_2_avg_cw_enters,cluster_2_avg_cw_increase,cluster_2_cw_increase_ratio,cluster_2_avg_epsilon,cluster_throughput_variance,cluster_throughput_max_min_ratio,jain_fairness_index
0,2026-01-19T10:00:36.944366,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.03,0.03,0.03,100,0,0,0,0,0,0,0,0,0,0,0.0,0,0,N/A,34,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.03,N/A,33,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.03,N/A,33,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.03,0.0,inf,0
10000,2026-01-19T10:00:37.904024,510,100,426,83,140,0.2160321067821068,7.68e-05,0.1678892218892219,1.0,3.26,4.26,1.07,4.03,5.1,0.07,0.76,0.83,0.2160321067821068,76.8,7.68e-07,1.4,0.0,0.0,0.1678892218892219,100,326,426,83,7680,0.03,0.03,0.03,1,25,71,0,1,0,0,0,2,0,0,87.3,120,74,N/A,34,4.9411764705882355,0.8823529411764706,0.2099206349206349,3043,89.5,1.5588235294117647,0.0,0.0,0,0.03,N/A,33,3.3636363636363638,0.7575757575757576,0.2784271284271284,1769,53.60606060606061,1.1818181818181819,0.0,0.0,0,0.03,N/A,33,4.454545454545454,0.8484848484848485,0.1599337531155713,2868,86.9090909090909,1.4545454545454546,0.0,0.0,0,0.03,317944.6666666667,1.7201808931599774,0.9537302481334377
20000,2026-01-19T10:00:38.903238,1062,210,892,169,279,0.21766003441003443,0.00015967,0.15966788974699192,2.1,6.82,8.92,2.28,8.34,10.62,0.17,1.52,1.69,0.21766003441003443,159.67,1.5966999999999999e-06,2.79,0.0,0.0,0.15966788974699192,210,682,892,169,15967,0.03,0.03,0.03,0,23,72,0,0,0,3,0,2,0,0,68.92,96,97,N/A,34,10.205882352941176,1.7352941176470589,0.19254067011419954,6267,184.3235294117647,3.0294117647058822,0.0,0.0,0,0.03,N/A,33,7.696969696969697,1.6666666666666667,0.2320779809416173,3774,114.36363636363636,2.606060606060606,0.0,0.0,0,0.03,N/A,33,8.818181818181818,1.6666666666666667,0.22912264503173593,5926,179.57575757575756,2.727272727272727,0.0,0.0,0,0.03,1218048.2222222222,1.6605723370429253,0.9587735093903305
30000,2026-01-19T10:00:39.864154,1590,314,1336,253,422,0.22712525866915367,0.00023994,0.16820292216060506,3.14,10.22,13.36,3.39,12.51,15.9,0.25,2.28,2.53,0.22712525866915367,239.94,2.3994000000000003e-06,4.22,0.0,0.0,0.16820292216060506,314,1022,1336,253,23994,0.03,0.03,0.03,0,30,64,0,2,0,3,0,1,0,0,140.3,177,89,N/A,34,15.735294117647058,2.5294117647058822,0.18577996729631224,10185,299.55882352941177,4.264705882352941,0.0,0.0,0,0.03,N/A,33,11.212121212121213,2.303030303030303,0.22031431221735803,5403,163.72727272727272,3.878787878787879,0.0,0.0,0,0.03,N/A,33,13.06060606060606,2.757575757575758,0.27653438411114956,8406,254.72727272727272,4.515151515151516,0.0,0.0,0,0.03,3894486.0,1.8850638534147697,0.9426120969036061
40000,2026-01-19T10:00:41.333435,2134,429,1796,337,548,0.217385439469889,0.0003275,0.16727015678706503,4.29,13.67,17.96,4.59,16.75,21.34,0.29,3.08,3.37,0.217385439469889,327.5,3.275e-06,5.48,0.0,0.0,0.16727015678706503,429,1367,1796,337,32750,0.03,0.03,0.03,0,24,69,0,1,0,4,0,2,0,0,119.19,154,97,N/A,34,20.88235294117647,3.3529411764705883,0.18539887613381426,13467,396.0882352941176,5.705882352941177,0.0,0.0,0,0.03,N/A,33,15.090909090909092,3.0303030303030303,0.21473363800637751,7834,237.3939393939394,4.878787878787879,0.0,0.0,0,0.03,N/A,33,17.818181818181817,3.727272727272727,0.2529930940675382,11449,346.93939393939394,5.848484848484849,0.0,0.0,0,0.03,5430137.555555555,1.7190451876436048,0.9564207528773314
50000,2026-01-19T10:00:42.607656,2689,535,2270,418,691,0.20997011475173655,0.00040883,0.16473138339769677,5.35,17.35,22.7,5.81,21.08,26.89,0.45,3.73,4.18,0.20997011475173655,408.83,4.0883e-06,6.91,0.0,0.0,0.16473138339769677,535,1735,2270,418,40883,0.03,0.03,0.03,0,21,72,0,1,0,3,0,3,0,0,54.35,91,83,N/A,34,26.235294117647058,4.147058823529412,0.1762876443944405,16824,494.8235294117647,7.323529411764706,0.0,0.0,0,0.03,N/A,33,19.272727272727273,3.9393939393939394,0.2216728839652839,9573,290.09090909090907,6.181818181818182,0.0,0.0,0,0.03,N/A,33,22.484848484848484,4.454545454545454,0.2329704968154033,14486,438.969696969697,7.212121212121212,0.0,0.0,0,0.03,9131201.555555556,1.7574428078972109,0.9531359543639456
60000,2026-01-19T10:00:43.570906,3225,643,2721,503,828,0.207272049639014,0.00049387,0.16355213648124592,6.43,20.78,27.21,7.01,25.24,32.25,0.57,4.46,5.03,0.207272049639014,493.87,4.9387e-06,8.28,0.0,0.0,0.16355213648124592,643,2078,2721,503,49387,0.03,0.03,0.03,0,14,81,0,0,0,3,0,2,0,0,93.52,137,96,N/A,34,31.58823529411765,5.088235294117647,0.1756227594229162,20168,593.1764705882352,8.823529411764707,0.0,0.0,0,0.03,N/A,33,22.96969696969697,4.636363636363637,0.21842895669844717,12039,364.8181818181818,7.393939393939394,0.0,0.0,0,0.03,N/A,33,26.939393939393938,5.363636363636363,0.22872350219616644,17180,520.6060606060606,8.606060606060606,0.0,0.0,0,0.03,11270962.88888889,1.6752221945344297,0.9600716041591789
70000,2026-01-19T10:00:44.471078,3776,750,3194,581,965,0.2039540589130666,0.00057468,0.16208524037421557,7.5,24.44,31.94,8.22,29.54,37.76,0.71,5.1,5.81,0.2039540589130666,574.68,5.746800000000001e-06,9.65,0.0,0.0,0.16208524037421557,750,2444,3194,581,57468,0.03,0.03,0.03,0,20,72,0,3,0,3,0,2,0,0,141.66,165,97,N/A,34,36.76470588235294,5.823529411764706,0.17214819530111514,23324,686.0,10.235294117647058,0.0,0.0,0,0.03,N/A,33,27.575757575757574,5.393939393939394,0.21544495853069334,14361,435.1818181818182,8.606060606060606,0.0,0.0,0,0.03,N/A,33,31.333333333333332,6.212121212121212,0.22523283695623825,19783,599.4848484848485,10.090909090909092,0.0,0.0,0,0.03,13585792.666666666,1.62412088294687,0.9642984719710777
80000,2026-01-19T10:00:45.351773,4299,856,3639,659,1093,0.20345223065346246,0.00065642,0.1620168743263523,8.56,27.83,36.39,9.38,33.61,42.99,0.81,5.78,6.59,0.20345223065346246,656.42,6.5642e-06,10.93,0.0,0.0,0.1620168743263523,856,2783,3639,659,65642,0.03,0.03,0.03,0,19,72,0,2,0,5,0,2,0,0,139.27,159,96,N/A,34,42.26470588235294,6.647058823529412,0.16753856225339986,27204,800.1176470588235,11.588235294117647,0.0,0.0,0,0.03,N/A,33,30.696969696969695,5.909090909090909,0.21295242653357793,15895,481.6666666666667,9.484848484848484,0.0,0.0,0,0.03,N/A,33,36.03030303030303,7.212121212121212,0.23095399615522968,22543,683.1212121212121,11.696969696969697,0.0,0.0,0,0.03,21534922.88888889,1.7114815979867883,0.9569558512920399
90000,2026-01-19T10:00:46.328768,4833,967,4097,736,1217,0.20009670724172202,0.00074158,0.1611982065873459,9.67,31.3,40.97,10.59,37.74,48.33,0.92,6.44,7.36,0.20009670724172202,741.58,7.4158e-06,12.17,0.0,0.0,0.1611982065873459,967,3130,4097,736,74158,0.03,0.03,0.03,0,20,75,1,1,0,1,0,2,0,0,149.78,181,96,N/A,34,47.6764705882353,7.411764705882353,0.16811912710194582,30634,901.0,13.058823529411764,0.0,0.0,0,0.03,N/A,33,34.54545454545455,6.666666666666667,0.2115136102981139,17620,533.939393939394,10.454545454545455,0.0,0.0,0,0.03,N/A,33,40.484848484848484,8.0,0.22162640190509952,25904,784.969696969697,12.969696969696969,0.0,0.0,0,0.03,28929083.555555556,1.7385925085130534,0.9547965075629237
