tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
0,2026-01-18T10:39:04.529952,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0.0,0,0
10000,2026-01-18T10:39:04.914598,916,99,606,246,519,0.4884843522490581,8.856e-05,0.26373672406025345,0.99,5.07,6.06,1.58,7.58,9.16,0.58,1.88,2.46,0.4884843522490581,88.56,8.855999999999999e-07,5.19,12.39,0.0,0.26373672406025345,99,507,606,246,8856,0,1,69,0,0,0,6,0,5,19,0,46.64,150,57
20000,2026-01-18T10:39:05.304025,1905,206,1249,507,1078,0.4152047490618294,0.00017642,0.26612090455739723,2.06,10.43,12.49,3.25,15.8,19.05,1.19,3.88,5.07,0.4152047490618294,176.42,1.7642e-06,10.78,24.94,0.0,0.26612090455739723,206,1043,1249,507,17642,0,0,67,0,6,0,12,0,4,11,0,110.29,176,81
30000,2026-01-18T10:39:05.695486,2867,308,1879,756,1648,0.4173692432990409,0.00026274,0.2761762805999477,3.08,15.71,18.79,4.87,23.8,28.67,1.78,5.78,7.56,0.4173692432990409,262.74,2.6274e-06,16.48,37.59,0.0,0.2761762805999477,308,1571,1879,756,26274,0,1,78,0,2,0,2,0,3,14,0,49.98,110,64
40000,2026-01-18T10:39:06.080255,3799,412,2478,1017,2186,0.4240687085979099,0.00035254,0.281933023072199,4.12,20.66,24.78,6.4,31.59,37.99,2.28,7.89,10.17,0.4240687085979099,352.54,3.5253999999999997e-06,21.86,49.55,0.0,0.281933023072199,412,2066,2478,1017,35254,1,0,76,0,4,0,5,0,5,9,0,76.32,122,76
50000,2026-01-18T10:39:06.468278,4776,517,3133,1283,2746,0.427561612456128,0.00044197,0.2868449469627728,5.17,26.16,31.33,8.14,39.62,47.76,2.96,9.87,12.83,0.427561612456128,441.97,4.419699999999999e-06,27.46,61.89,0.0,0.2868449469627728,517,2616,3133,1283,44197,0,2,71,0,1,0,7,0,5,14,0,74.02,146,81
60000,2026-01-18T10:39:06.853758,5718,627,3765,1536,3272,0.4320480663924342,0.00053185,0.2905460411843131,6.27,31.38,37.65,9.8,47.38,57.18,3.52,11.84,15.36,0.4320480663924342,531.85,5.318499999999999e-06,32.72,73.83,0.0,0.2905460411843131,627,3138,3765,1536,53185,0,2,77,0,0,0,4,0,4,13,0,18.39,71,54
70000,2026-01-18T10:39:07.239113,6699,727,4418,1798,3828,0.4291246372505848,0.00062141,0.2908651402367248,7.27,36.91,44.18,11.51,55.48,66.99,4.24,13.74,17.98,0.4291246372505848,621.41,6.2140999999999995e-06,38.28,86.26,0.0,0.2908651402367248,727,3691,4418,1798,62141,0,1,75,0,3,0,7,0,5,9,0,95.27,178,67
80000,2026-01-18T10:39:07.623284,7635,827,5035,2042,4372,0.42984072866264783,0.00071019,0.29124013983219715,8.27,42.08,50.35,13.11,63.24,76.35,4.84,15.58,20.42,0.42984072866264783,710.19,7.1019e-06,43.72,98.31,0.0,0.29124013983219715,827,4208,5035,2042,71019,0,3,75,0,2,0,4,0,1,15,0,40.2,173,77
90000,2026-01-18T10:39:08.007387,8618,930,5689,2307,4933,0.4285252104330459,0.00079922,0.29099091248279807,9.3,47.59,56.89,14.86,71.32,86.18,5.55,17.52,23.07,0.4285252104330459,799.22,7.9922e-06,49.33,110.84,0.0,0.29099091248279807,930,4759,5689,2307,79922,0,1,66,0,3,0,6,0,4,20,0,77.21,135,71
