tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
0,2026-01-16T11:40:59.281274,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.03,0.03,0.03,100,0,0,0,0,0,0,0,0,0,0,0.0,0,0
10000,2026-01-16T11:41:00.041607,915,96,625,289,554,0.575302179196344,8.955e-05,0.2783259923387112,0.96,5.29,6.25,1.39,7.76,9.15,0.42,2.47,2.89,0.575302179196344,89.55,8.954999999999999e-07,5.54,0.0,0.0,0.2783259923387112,96,529,625,289,8955,0.03,0.03,0.03,0,17,74,0,2,0,4,0,3,0,0,93.04,171,88
20000,2026-01-16T11:41:00.720526,1913,189,1333,579,1180,0.5447277724073665,0.0001743,0.28793609577991214,1.89,11.44,13.33,2.81,16.32,19.13,0.92,4.87,5.79,0.5447277724073665,174.3,1.743e-06,11.8,0.0,0.0,0.28793609577991214,189,1144,1333,579,17430,0.03,0.03,0.03,0,20,65,0,4,0,9,0,2,0,0,66.46,177,74
30000,2026-01-16T11:41:01.410961,2881,286,2013,867,1782,0.5722583382548675,0.00026096,0.31335994577552484,2.86,17.27,20.13,4.24,24.57,28.81,1.38,7.29,8.67,0.5722583382548675,260.96,2.6096000000000004e-06,17.82,0.0,0.0,0.31335994577552484,286,1727,2013,867,26096,0.03,0.03,0.03,0,7,75,0,5,0,10,0,3,0,0,142.41,178,92
40000,2026-01-16T11:41:02.094371,3822,388,2682,1139,2341,0.5523290553931139,0.00035103,0.31581761571802897,3.88,22.94,26.82,5.69,32.53,38.22,1.81,9.58,11.39,0.5523290553931139,351.03,3.5103e-06,23.41,0.0,0.0,0.31581761571802897,388,2294,2682,1139,35103,0.03,0.03,0.03,0,12,72,0,3,0,10,0,3,0,0,131.15,178,90
50000,2026-01-16T11:41:02.811920,4701,493,3297,1403,2853,0.5614266153651684,0.00044237,0.3227306517828724,4.93,28.04,32.97,7.07,39.94,47.01,2.13,11.9,14.03,0.5614266153651684,442.37,4.4237e-06,28.53,0.0,0.0,0.3227306517828724,493,2804,3297,1403,44237,0.03,0.03,0.03,0,22,69,0,2,0,4,0,3,0,0,73.3,143,94
60000,2026-01-16T11:41:03.520559,5591,594,3924,1666,3367,0.5543107234514529,0.00053366,0.3222295401255269,5.94,33.3,39.24,8.54,47.37,55.91,2.59,14.07,16.66,0.5543107234514529,533.66,5.336600000000001e-06,33.67,0.0,0.0,0.3222295401255269,594,3330,3924,1666,53366,0.03,0.03,0.03,0,24,68,0,0,0,4,0,4,0,0,36.98,77,78
70000,2026-01-16T11:41:04.185720,6501,692,4573,1927,3900,0.5399253289091329,0.00062146,0.3198435758008231,6.92,38.81,45.73,9.91,55.1,65.01,2.98,16.29,19.27,0.5399253289091329,621.46,6.2146e-06,39.0,0.0,0.0,0.3198435758008231,692,3881,4573,1927,62146,0.03,0.03,0.03,0,10,79,0,4,0,3,0,4,0,0,99.47,141,87
80000,2026-01-16T11:41:04.861143,7403,797,5214,2188,4406,0.5442492336405348,0.00071357,0.323088558350406,7.97,44.17,52.14,11.48,62.55,74.03,3.51,18.37,21.88,0.5442492336405348,713.57,7.135699999999999e-06,44.06,0.0,0.0,0.323088558350406,797,4417,5214,2188,71357,0.03,0.03,0.03,0,12,79,0,1,0,4,0,4,0,0,45.09,173,85
90000,2026-01-16T11:41:05.504762,8292,902,5838,2454,4899,0.5401522236137233,0.00080564,0.32367826217947804,9.02,49.36,58.38,13.04,69.88,82.92,4.02,20.52,24.54,0.5401522236137233,805.64,8.0564e-06,48.99,0.0,0.0,0.32367826217947804,902,4936,5838,2454,80564,0.03,0.03,0.03,0,6,78,1,4,0,7,0,4,0,0,115.67,181,82
