tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
0,2026-01-19T16:43:24.713549,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.03,0.03,0.03,500,0,0,0,0,0,0,0,0,0,0,0.0,0,0
10000,2026-01-19T16:43:31.083962,1221,96,780,440,840,0.38157749443538913,0.0009024,0.3003773199023199,0.192,1.368,1.56,0.282,2.16,2.442,0.09,0.79,0.88,0.38157749443538913,18.048,1.8048e-06,1.68,0.0,0.0,0.3003773199023199,96,684,780,440,9024,0.03,0.03,0.03,0,93,386,0,7,0,12,0,2,0,0,57.188,103,490
20000,2026-01-19T16:43:35.391158,2392,197,1535,856,1644,0.6525238019061549,0.0018297,0.32484038257480613,0.394,2.676,3.07,0.566,4.218,4.784,0.172,1.54,1.712,0.6525238019061549,36.594,3.6594e-06,3.288,0.0,0.0,0.32484038257480613,197,1338,1535,856,18297,0.03,0.03,0.03,0,46,433,0,3,0,12,0,6,0,0,83.794,177,487
30000,2026-01-19T16:43:39.420798,3516,284,2265,1250,2444,0.726732420662838,0.0027207,0.33018599345187727,0.568,3.962,4.53,0.846,6.186,7.032,0.276,2.224,2.5,0.726732420662838,54.414,5.4414e-06,4.888,0.0,0.0,0.33018599345187727,284,1981,2265,1250,27207,0.03,0.03,0.03,0,33,452,0,4,0,7,0,4,0,0,85.726,127,461
40000,2026-01-19T16:43:43.643764,4679,377,3030,1648,3242,0.7751987652872155,0.0036133,0.3353147905214033,0.754,5.306,6.06,1.164,8.194,9.358,0.408,2.888,3.296,0.7751987652872155,72.266,7.2265999999999996e-06,6.484,0.0,0.0,0.3353147905214033,377,2653,3030,1648,36133,0.03,0.03,0.03,0,32,449,0,7,0,8,0,4,0,0,115.032,145,489
50000,2026-01-19T16:43:47.601307,5830,470,3782,2047,4042,0.7989505721633834,0.0045079,0.3458985653269659,0.94,6.624,7.564,1.456,10.204,11.66,0.514,3.58,4.094,0.7989505721633834,90.158,9.0158e-06,8.084,0.0,0.0,0.3458985653269659,470,3312,3782,2047,45079,0.03,0.03,0.03,0,34,450,0,3,0,9,0,4,0,0,76.762,123,411
60000,2026-01-19T16:43:51.533582,6942,570,4500,2441,4799,0.7917692241033519,0.0054231,0.34917782210795445,1.14,7.86,9.0,1.73,12.154,13.884,0.588,4.294,4.882,0.7917692241033519,108.462,1.08462e-05,9.598,0.0,0.0,0.34917782210795445,570,3930,4500,2441,54231,0.03,0.03,0.03,0,34,446,0,4,0,11,0,5,0,0,89.816,147,492
70000,2026-01-19T16:43:55.442932,8067,667,5230,2836,5575,0.785809492178641,0.0063291,0.3479216608796671,1.334,9.126,10.46,2.014,14.12,16.134,0.678,4.994,5.672,0.785809492178641,126.582,1.26582e-05,11.15,0.0,0.0,0.3479216608796671,667,4563,5230,2836,63291,0.03,0.03,0.03,0,37,448,0,3,0,11,0,1,0,0,50.864,99,366
80000,2026-01-19T16:43:59.312660,9211,762,5976,3235,6359,0.7747668898718911,0.0072649,0.35066113792437165,1.524,10.428,11.952,2.31,16.112,18.422,0.786,5.684,6.47,0.7747668898718911,145.298,1.4529800000000001e-05,12.718,0.0,0.0,0.35066113792437165,762,5214,5976,3235,72649,0.03,0.03,0.03,0,21,460,1,5,0,10,0,3,0,0,141.456,181,488
90000,2026-01-19T16:44:03.604601,10280,848,6686,3593,7092,0.7769945767367873,0.0081486,0.34967264368056794,1.696,11.676,13.372,2.574,17.986,20.56,0.876,6.31,7.186,0.7769945767367873,162.972,1.62972e-05,14.184,0.0,0.0,0.34967264368056794,848,5838,6686,3593,81486,0.03,0.03,0.03,0,28,443,0,8,0,16,0,5,0,0,109.038,137,487
100000,2026-01-19T16:44:07.531409,11434,935,7458,3976,7907,0.7697788091156926,0.0090358,0.352549807884296,1.87,13.046,14.916,2.854,20.014,22.868,0.984,6.968,7.952,0.7697788091156926,180.716,1.80716e-05,15.814,0.0,0.0,0.352549807884296,935,6523,7458,3976,90358,0.03,0.03,0.03,0,24,455,0,6,0,12,0,3,0,0,87.094,133,491
110000,2026-01-19T16:44:11.431883,12627,1026,8243,4383,8732,0.7638059588641033,0.0099326,0.3550424023921384,2.052,14.434,16.486,3.164,22.09,25.254,1.11,7.656,8.766,0.7638059588641033,198.652,1.98652e-05,17.464,0.0,0.0,0.3550424023921384,1026,7217,8243,4383,99326,0.03,0.03,0.03,0,28,446,0,8,0,13,0,5,0,0,143.732,169,488
