tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_current_retry_count,nodes_max_retry_count,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_avg_busy_ratio,nodes_avg_collision_ratio,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
0,2026-01-19T17:47:31.108110,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.03,0.03,0.03,0.0,0.0,500,0,0,0,0,0,0,0,0,0,0,0.0,0,0
10000,2026-01-19T17:47:43.391282,1000,109,674,325,573,0.3170809523809524,0.0009192,0.2503563492063492,0.218,1.13,1.348,0.358,1.642,2.0,0.138,0.512,0.65,0.3170809523809524,18.384,1.8384e-06,1.146,0.0,0.0,0.2503563492063492,109,565,674,325,9192,1.878,4,0.01148985849918466,0.00999837585282919,0.02704958053190835,0.9936200000000001,0.9853158026515488,0,41,452,0,0,0,3,0,4,0,0,22.756,118,141
20000,2026-01-19T17:47:56.228623,1895,218,1285,609,1059,0.4927094683094683,0.001858,0.30819330930507405,0.436,2.134,2.57,0.694,3.096,3.79,0.256,0.962,1.218,0.4927094683094683,37.16,3.716e-06,2.118,0.0,0.0,0.30819330930507405,218,1067,1285,609,18580,1.824,4,0.01049940585849909,0.00999837585282919,0.024110386878286327,0.99146,0.9832656971504351,0,48,440,0,0,0,6,0,6,0,0,68.644,149,398
30000,2026-01-19T17:48:08.535656,2750,338,1872,877,1492,0.5668571090244464,0.0028003,0.3141385793429137,0.676,3.068,3.744,1.028,4.472,5.5,0.35,1.404,1.754,0.5668571090244464,56.006,5.6006e-06,2.984,0.0,0.0,0.3141385793429137,338,1534,1872,877,28003,1.742,4,0.010255073146686137,0.00999837585282919,0.021522832620651206,0.99076,0.981619165400517,0,35,451,0,1,0,7,0,6,0,0,89.212,147,485
40000,2026-01-19T17:48:20.952681,3599,459,2466,1133,1912,0.5674629825076883,0.0037392,0.31875508183926415,0.918,4.014,4.932,1.374,5.824,7.198,0.456,1.81,2.266,0.5674629825076883,74.784,7.478399999999999e-06,3.824,0.0,0.0,0.31875508183926415,459,2007,2466,1133,37392,1.846,4,0.010088266196092613,0.00999837585282919,0.017708869003512318,0.99084,0.9807738991786867,0,21,468,0,1,1,6,0,3,0,0,87.214,174,474
50000,2026-01-19T17:48:33.556824,4425,572,3043,1381,2323,0.562407457632953,0.0046796,0.32295978529439906,1.144,4.942,6.086,1.694,7.156,8.85,0.548,2.214,2.762,0.562407457632953,93.592,9.3592e-06,4.646,0.0,0.0,0.32295978529439906,572,2471,3043,1381,46796,1.834,4,0.010033967620055952,0.00999837585282919,0.016015234962429997,0.98968,0.9803859161171629,0,18,467,0,0,0,8,0,7,0,0,96.27,159,418
60000,2026-01-19T17:48:46.758430,5300,690,3653,1646,2767,0.5580049734950252,0.0056198,0.3250547055094218,1.38,5.926,7.306,2.036,8.564,10.6,0.656,2.636,3.292,0.5580049734950252,112.396,1.12396e-05,5.534,0.0,0.0,0.3250547055094218,690,2963,3653,1646,56198,1.85,4,0.010016980952833954,0.00999837585282919,0.014483576046046158,0.99124,0.9797478013821046,0,25,459,0,4,0,7,0,5,0,0,69.18,131,470
70000,2026-01-19T17:49:00.032126,6190,811,4275,1914,3220,0.5688276379381805,0.0065491,0.329023704952213,1.622,6.928,8.55,2.394,9.986,12.38,0.77,3.058,3.828,0.5688276379381805,130.982,1.30982e-05,6.44,0.0,0.0,0.329023704952213,811,3464,4275,1914,65491,1.87,4,0.010001035204547492,0.00999837585282919,0.011105593761279408,0.99266,0.9787154760882367,0,30,459,0,0,0,6,0,5,0,0,51.69,125,386
80000,2026-01-19T17:49:12.863800,7049,929,4874,2174,3650,0.5613214526285382,0.0074922,0.32942106821385037,1.858,7.89,9.748,2.738,11.36,14.098,0.878,3.47,4.348,0.5613214526285382,149.844,1.49844e-05,7.3,0.0,0.0,0.32942106821385037,929,3945,4874,2174,74922,1.806,4,0.00999848616562611,0.00999837585282919,0.010053532251289715,0.9933,0.9776188882708056,1,21,464,0,1,0,6,0,7,0,0,77.56,148,446
90000,2026-01-19T17:49:28.213122,7916,1048,5484,2432,4085,0.5628822855215849,0.0084334,0.3307893441911402,2.096,8.872,10.968,3.094,12.738,15.832,0.998,3.866,4.864,0.5628822855215849,168.668,1.6866800000000003e-05,8.17,0.0,0.0,0.3307893441911402,1048,4436,5484,2432,84334,1.87,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9926200000000001,0.977082960758484,0,26,465,1,1,0,3,0,4,0,0,90.944,180,434
100000,2026-01-19T17:49:44.386822,8810,1159,6099,2710,4560,0.5603527321174148,0.0093645,0.3336814067281536,2.318,9.88,12.198,3.432,14.188,17.62,1.112,4.308,5.42,0.5603527321174148,187.29,1.8729e-05,9.12,0.0,0.0,0.3336814067281536,1159,4940,6099,2710,93645,1.87,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99264,0.9766645291813539,1,36,449,0,2,0,7,0,5,0,0,78.296,114,421
110000,2026-01-19T17:49:58.949680,9659,1271,6695,2964,4989,0.5541639048168745,0.0103118,0.3335030935258153,2.542,10.848,13.39,3.776,15.542,19.318,1.234,4.694,5.928,0.5541639048168745,206.236,2.06236e-05,9.978,0.0,0.0,0.3335030935258153,1271,5424,6695,2964,103118,1.796,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9926799999999999,0.9765930748355011,0,27,459,1,3,0,5,0,5,0,0,115.124,181,431
120000,2026-01-19T17:50:11.971763,10586,1382,7327,3258,5491,0.5527114151110594,0.0112385,0.33472426018655227,2.764,11.89,14.654,4.138,17.034,21.172,1.372,5.144,6.516,0.5527114151110594,224.77,2.2477000000000002e-05,10.982,0.0,0.0,0.33472426018655227,1382,5945,7327,3258,112385,1.79,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99044,0.9764091341715908,0,35,448,0,1,0,10,0,6,0,0,48.862,93,460
130000,2026-01-19T17:50:24.984733,11485,1506,7951,3533,5947,0.557747282256606,0.0121844,0.33659965485782667,3.012,12.89,15.902,4.494,18.476,22.97,1.482,5.584,7.066,0.557747282256606,243.688,2.43688e-05,11.894,0.0,0.0,0.33659965485782667,1506,6445,7951,3533,121844,1.836,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99118,0.9764273070207841,0,21,461,0,5,0,8,0,5,0,0,131.706,179,486
140000,2026-01-19T17:50:37.854366,12330,1620,8531,3798,6384,0.5616113279830017,0.0131249,0.33859839579793743,3.24,13.822,17.062,4.826,19.834,24.66,1.584,6.012,7.596,0.5616113279830017,262.498,2.62498e-05,12.768,0.0,0.0,0.33859839579793743,1620,6911,8531,3798,131249,1.91,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99156,0.9764656230760612,0,21,459,0,3,0,9,0,8,0,0,109.632,146,464
150000,2026-01-19T17:50:51.226895,13201,1737,9140,4060,6826,0.5603229891492985,0.0140649,0.33910438682196786,3.474,14.806,18.28,5.182,21.22,26.402,1.706,6.414,8.12,0.5603229891492985,281.298,2.81298e-05,13.652,0.0,0.0,0.33910438682196786,1737,7403,9140,4060,140649,1.828,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99042,0.9767677919628266,0,19,466,0,3,0,8,0,4,0,0,56.13,151,398
160000,2026-01-19T17:51:04.198505,14064,1850,9739,4324,7262,0.5567950600663601,0.0150066,0.33919320306258177,3.7,15.778,19.478,5.534,22.594,28.128,1.832,6.816,8.648,0.5567950600663601,300.132,3.00132e-05,14.524,0.0,0.0,0.33919320306258177,1850,7889,9739,4324,150066,1.854,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99142,0.9769673003911286,0,17,462,0,6,0,9,0,6,0,0,115.614,169,491
170000,2026-01-19T17:51:17.159739,14929,1970,10342,4586,7707,0.5606147473826744,0.0159424,0.34060504986488643,3.94,16.744,20.684,5.88,23.978,29.858,1.938,7.234,9.172,0.5606147473826744,318.848,3.18848e-05,15.414,0.0,0.0,0.34060504986488643,1970,8372,10342,4586,159424,1.886,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9892799999999999,0.9767570942983296,0,15,476,0,0,0,5,0,4,0,0,65.842,142,317
180000,2026-01-19T17:51:29.977042,15804,2091,10953,4850,8141,0.5572190717645433,0.0168807,0.3401325099502204,4.182,17.724,21.906,6.234,25.374,31.608,2.05,7.65,9.7,0.5572190717645433,337.614,3.37614e-05,16.282,0.0,0.0,0.3401325099502204,2091,8862,10953,4850,168807,1.898,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9915,0.9768686060670412,0,15,475,0,0,0,5,0,5,0,0,82.344,159,364
190000,2026-01-19T17:51:42.836343,16686,2203,11559,5126,8603,0.5585760462363208,0.0178132,0.3410415426852261,4.406,18.712,23.118,6.586,26.786,33.372,2.178,8.074,10.252,0.5585760462363208,356.264,3.56264e-05,17.206,0.0,0.0,0.3410415426852261,2203,9356,11559,5126,178132,1.834,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99046,0.9766441960820399,0,18,468,0,3,0,7,0,4,0,0,64.706,114,384
200000,2026-01-19T17:51:55.871777,17577,2321,12179,5398,9058,0.5578102015537537,0.0187573,0.341464758770018,4.642,19.716,24.358,6.946,28.208,35.154,2.304,8.492,10.796,0.5578102015537537,375.146,3.75146e-05,18.116,0.0,0.0,0.341464758770018,2321,9858,12179,5398,187573,1.824,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99136,0.9767816227122379,0,27,458,1,4,0,5,0,5,0,0,118.842,181,489
210000,2026-01-19T17:52:08.809036,18436,2436,12778,5657,9494,0.5554670554181605,0.0196875,0.3411860865095771,4.872,20.684,25.556,7.31,29.562,36.872,2.436,8.878,11.314,0.5554670554181605,393.75,3.9375e-05,18.988,0.0,0.0,0.3411860865095771,2436,10342,12778,5657,196875,1.886,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9896,0.9761754299248679,0,15,475,0,1,0,4,0,5,0,0,88.452,166,382
220000,2026-01-19T17:52:21.632945,19299,2548,13375,5923,9947,0.5541744379078449,0.0206221,0.34110655764775244,5.096,21.654,26.75,7.642,30.956,38.598,2.544,9.302,11.846,0.5541744379078449,412.442,4.12442e-05,19.894,0.0,0.0,0.34110655764775244,2548,10827,13375,5923,206221,1.722,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9909,0.9762324209820112,0,46,445,0,0,0,4,0,5,0,0,60.71,116,409
230000,2026-01-19T17:52:34.854321,20096,2662,13933,6162,10338,0.5553075987132928,0.0215672,0.3414242147244309,5.324,22.542,27.866,7.97,32.222,40.192,2.644,9.68,12.324,0.5553075987132928,431.344,4.3134400000000005e-05,20.676,0.0,0.0,0.3414242147244309,2662,11271,13933,6162,215672,1.778,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99234,0.9773444009526209,0,24,469,0,0,0,3,0,4,0,0,33.282,123,223
240000,2026-01-19T17:52:47.677121,20975,2781,14537,6437,10790,0.5569054004643423,0.022507,0.34177931237487674,5.562,23.512,29.074,8.326,33.624,41.95,2.762,10.112,12.874,0.5569054004643423,450.14,4.5014e-05,21.58,0.0,0.0,0.34177931237487674,2781,11756,14537,6437,225070,1.728,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9892799999999999,0.9771643182190445,0,29,465,0,0,0,2,0,4,0,0,53.214,132,354
250000,2026-01-19T17:53:00.501351,21847,2900,15139,6708,11236,0.556258008932772,0.0234521,0.34182591488416686,5.8,24.478,30.278,8.664,35.03,43.694,2.864,10.552,13.416,0.556258008932772,469.042,4.69042e-05,22.472,0.0,0.0,0.34182591488416686,2900,12239,15139,6708,234521,1.722,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.99224,0.9772026380241186,0,14,479,0,0,0,4,0,3,0,0,38.92,117,461
