tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_current_retry_count,nodes_max_retry_count,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_avg_busy_ratio,nodes_avg_collision_ratio,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
0,2026-01-16T15:25:14.798575,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.03,0.03,0.03,0.0,0.0,100,0,0,0,0,0,0,0,0,0,0,0.0,0,0
10000,2026-01-16T15:25:17.177611,752,116,559,192,309,0.43465233377733375,9.355e-05,0.25723423063864237,1.16,4.43,5.59,1.64,5.88,7.52,0.47,1.45,1.92,0.43465233377733375,93.55,9.355e-07,3.09,0.0,0.0,0.25723423063864237,116,443,559,192,9355,1.84,4,0.012020567948133807,0.00999837585282919,0.026447612012790105,0.977,0.9478632026338829,0,5,85,0,2,0,4,0,4,0,0,51.03,173,88
20000,2026-01-16T15:25:20.606758,1447,244,1084,362,563,0.42141415577886165,0.00018754,0.2642254019810181,2.44,8.4,10.84,3.22,11.25,14.47,0.77,2.85,3.62,0.42141415577886165,187.54,1.8754e-06,5.63,0.0,0.0,0.2642254019810181,244,840,1084,362,18754,1.84,4,0.010591087058376025,0.00999837585282919,0.02339764171667217,0.9784,0.9367779207137018,0,5,87,0,0,0,3,0,5,0,0,52.31,141,53
30000,2026-01-16T15:25:24.878392,2225,373,1680,544,867,0.3997142043874987,0.00028102,0.2632232502726117,3.73,13.07,16.8,4.96,17.29,22.25,1.22,4.22,5.44,0.3997142043874987,281.02,2.8102e-06,8.67,0.0,0.0,0.2632232502726117,373,1307,1680,544,28102,1.78,4,0.010244443386355565,0.00999837585282919,0.020730477819802716,0.9817999999999999,0.9290989678605142,0,8,88,0,0,0,1,0,3,0,0,49.41,157,44
40000,2026-01-16T15:25:28.667936,2893,494,2185,707,1108,0.393248136972711,0.00037551,0.2652855558103773,4.94,16.91,21.85,6.5,22.43,28.93,1.55,5.52,7.07,0.393248136972711,375.51,3.7551000000000003e-06,11.08,0.0,0.0,0.2652855558103773,494,1691,2185,707,37551,2.04,4,0.010135337734263448,0.00999837585282919,0.018766626244936795,0.9817,0.9259067207639861,0,2,94,0,0,0,1,0,3,0,0,46.53,146,49
50000,2026-01-16T15:25:32.142394,3595,613,2719,875,1362,0.389654582893838,0.0004697,0.26477334178637707,6.13,21.06,27.19,8.14,27.81,35.95,2.0,6.75,8.75,0.389654582893838,469.7,4.697e-06,13.62,0.0,0.0,0.26477334178637707,613,2106,2719,875,46970,1.83,4,0.010068535335471682,0.00999837585282919,0.017014324117078494,0.9808,0.9248669923727568,1,8,76,0,3,0,8,0,4,0,0,108.11,140,92
60000,2026-01-16T15:25:36.292918,4297,732,3261,1035,1632,0.38090203909983666,0.00056352,0.26220402111302127,7.32,25.29,32.61,9.7,33.27,42.97,2.37,7.98,10.35,0.38090203909983666,563.52,5.6352e-06,16.32,0.0,0.0,0.26220402111302127,732,2529,3261,1035,56352,1.97,4,0.010049291083517382,0.00999837585282919,0.015089898921648423,0.9812000000000001,0.9238512900809632,0,7,87,0,0,0,3,0,3,0,0,34.7,128,46
70000,2026-01-16T15:25:38.927441,5049,854,3836,1212,1921,0.38061781387480376,0.00065775,0.26258507434725314,8.54,29.82,38.36,11.43,39.06,50.49,2.88,9.24,12.12,0.38061781387480376,657.75,6.5775e-06,19.21,0.0,0.0,0.26258507434725314,854,2982,3836,1212,65775,1.74,4,0.010034723030444767,0.00999837585282919,0.01363309361438692,0.9836,0.92142497590162,0,5,88,0,0,0,3,0,4,0,0,81.96,171,70
80000,2026-01-16T15:25:41.596462,5742,973,4353,1389,2190,0.38112188759912285,0.00075243,0.2645684973024277,9.73,33.8,43.53,13.0,44.42,57.42,3.27,10.62,13.89,0.38112188759912285,752.43,7.5243e-06,21.9,0.0,0.0,0.2645684973024277,973,3380,4353,1389,75243,1.82,4,0.010022302826032942,0.00999837585282919,0.012391073173204592,0.9806999999999999,0.9192739246255538,0,5,86,0,2,0,3,1,3,0,0,84.9,123,79
90000,2026-01-16T15:25:44.398591,6445,1089,4890,1555,2464,0.3780030541759954,0.00084666,0.263733376603731,10.89,38.01,48.9,14.58,49.87,64.45,3.69,11.86,15.55,0.3780030541759954,846.66,8.4666e-06,24.64,0.0,0.0,0.263733376603731,1089,3801,4890,1555,84666,1.82,4,0.010007085229668526,0.00999837585282919,0.010869313536762782,0.9792000000000001,0.9222503704317626,0,2,93,1,1,0,1,0,2,0,0,57.88,180,37
