n_nodes,simulation_ticks,packet_probability,epsilon,node_type,run_id,total_packets_generated,total_packets_sent,total_packets_lost,total_data_packets_sent,total_timeouts,packet_delivery_ratio,packet_loss_ratio,throughput,avg_packet_loss_per_node,avg_near_nodes,timestamp
50,10000,0.001,0.0,baseline,0,1108,733,209,75,780,0.06768953068592058,0.28512960436562074,0.0075,4.18,1.44,2026-01-06T10:03:44.352452
50,10000,0.001,0.0,baseline,1,1202,758,252,65,892,0.054076539101497505,0.3324538258575198,0.0065,5.04,1.44,2026-01-06T10:03:44.532329
50,10000,0.001,0.0,baseline,2,1339,848,253,56,1065,0.041822255414488425,0.2983490566037736,0.0056,5.06,1.64,2026-01-06T10:03:44.717529
50,10000,0.001,0.0,baseline,3,1133,777,219,71,790,0.06266548984995587,0.28185328185328185,0.0071,4.38,1.12,2026-01-06T10:03:44.898789
50,10000,0.001,0.0,baseline,4,1176,782,218,75,833,0.06377551020408163,0.27877237851662406,0.0075,4.36,1.68,2026-01-06T10:03:45.085110
50,10000,0.005,0.0,baseline,0,1268,800,260,67,949,0.0528391167192429,0.325,0.0067,5.2,1.28,2026-01-06T10:03:45.268096
50,10000,0.005,0.0,baseline,1,1187,784,225,67,871,0.05644481887110362,0.2869897959183674,0.0067,4.5,1.2,2026-01-06T10:03:45.452863
50,10000,0.005,0.0,baseline,2,1188,808,202,67,883,0.0563973063973064,0.25,0.0067,4.04,1.72,2026-01-06T10:03:45.633629
50,10000,0.005,0.0,baseline,3,1205,789,232,78,851,0.06473029045643154,0.29404309252217997,0.0078,4.64,1.52,2026-01-06T10:03:45.814909
50,10000,0.005,0.0,baseline,4,1178,779,227,69,850,0.05857385398981324,0.2913992297817715,0.0069,4.54,1.28,2026-01-06T10:03:45.996375
50,10000,0.01,0.0,baseline,0,1284,856,242,56,1006,0.04361370716510903,0.2827102803738318,0.0056,4.84,1.68,2026-01-06T10:03:46.179671
50,10000,0.01,0.0,baseline,1,1335,863,263,60,1034,0.0449438202247191,0.3047508690614137,0.006,5.26,1.48,2026-01-06T10:03:46.364203
50,10000,0.01,0.0,baseline,2,1298,843,268,64,995,0.04930662557781202,0.31791221826809013,0.0064,5.36,1.76,2026-01-06T10:03:46.546554
50,10000,0.01,0.0,baseline,3,1142,751,221,77,793,0.06742556917688267,0.29427430093209056,0.0077,4.42,1.08,2026-01-06T10:03:46.732063
50,10000,0.01,0.0,baseline,4,1163,767,227,73,816,0.06276870163370593,0.29595827900912647,0.0073,4.54,1.48,2026-01-06T10:03:46.910415
50,10000,0.02,0.0,baseline,0,1251,800,240,74,911,0.05915267785771383,0.3,0.0074,4.8,1.64,2026-01-06T10:03:47.091876
50,10000,0.02,0.0,baseline,1,1181,770,235,66,858,0.0558848433530906,0.3051948051948052,0.0066,4.7,1.24,2026-01-06T10:03:47.270502
50,10000,0.02,0.0,baseline,2,1273,807,256,64,955,0.05027494108405342,0.31722428748451054,0.0064,5.12,1.32,2026-01-06T10:03:47.447919
50,10000,0.02,0.0,baseline,3,1075,695,232,81,710,0.07534883720930233,0.3338129496402878,0.0081,4.64,1.2,2026-01-06T10:03:47.623108
50,10000,0.02,0.0,baseline,4,1165,791,233,71,830,0.06094420600858369,0.2945638432364096,0.0071,4.66,1.44,2026-01-06T10:03:47.802508
50,10000,0.05,0.0,baseline,0,1307,831,276,62,997,0.047436878347360364,0.33212996389891697,0.0062,5.52,1.88,2026-01-06T10:03:47.983631
50,10000,0.05,0.0,baseline,1,1179,787,221,74,848,0.06276505513146735,0.28081321473951715,0.0074,4.42,1.2,2026-01-06T10:03:48.160955
50,10000,0.05,0.0,baseline,2,1179,806,229,65,853,0.0551314673452078,0.2841191066997519,0.0065,4.58,1.24,2026-01-06T10:03:48.341264
50,10000,0.05,0.0,baseline,3,1251,820,257,66,927,0.05275779376498801,0.31341463414634146,0.0066,5.14,1.56,2026-01-06T10:03:48.519846
50,10000,0.05,0.0,baseline,4,1172,779,231,70,843,0.059726962457337884,0.29653401797175866,0.007,4.62,1.16,2026-01-06T10:03:48.698031
100,10000,0.001,0.0,baseline,0,2289,1240,537,10,2134,0.00436871996505024,0.43306451612903224,0.001,5.37,2.76,2026-01-06T10:03:49.077801
100,10000,0.001,0.0,baseline,1,2319,1208,538,9,2185,0.0038809831824062097,0.445364238410596,0.0009,5.38,2.94,2026-01-06T10:03:49.452519
100,10000,0.001,0.0,baseline,2,2306,1220,543,13,2158,0.005637467476149176,0.44508196721311477,0.0013,5.43,2.78,2026-01-06T10:03:49.823731
100,10000,0.001,0.0,baseline,3,2326,1224,522,9,2190,0.003869303525365434,0.4264705882352941,0.0009,5.22,2.7,2026-01-06T10:03:50.194883
100,10000,0.001,0.0,baseline,4,2354,1269,566,11,2213,0.004672897196261682,0.44602048857368004,0.0011,5.66,3.14,2026-01-06T10:03:50.561075
100,10000,0.005,0.0,baseline,0,2345,1272,535,9,2211,0.003837953091684435,0.42059748427672955,0.0009,5.35,2.58,2026-01-06T10:03:50.928882
100,10000,0.005,0.0,baseline,1,2274,1222,540,14,2113,0.006156552330694811,0.44189852700491,0.0014,5.4,2.8,2026-01-06T10:03:51.300800
100,10000,0.005,0.0,baseline,2,2286,1246,548,14,2125,0.006124234470691163,0.43980738362760835,0.0014,5.48,2.32,2026-01-06T10:03:51.671969
100,10000,0.005,0.0,baseline,3,2351,1247,593,13,2200,0.00552956188855806,0.4755412991178829,0.0013,5.93,2.72,2026-01-06T10:03:52.041526
100,10000,0.005,0.0,baseline,4,2274,1171,538,14,2129,0.006156552330694811,0.4594363791631085,0.0014,5.38,2.58,2026-01-06T10:03:52.409971
100,10000,0.01,0.0,baseline,0,2351,1235,550,10,2209,0.004253509145044662,0.44534412955465585,0.001,5.5,2.48,2026-01-06T10:03:52.779274
100,10000,0.01,0.0,baseline,1,2308,1165,552,11,2166,0.004766031195840554,0.4738197424892704,0.0011,5.52,2.78,2026-01-06T10:03:53.144418
100,10000,0.01,0.0,baseline,2,2282,1214,553,15,2144,0.006573181419807186,0.45551894563426687,0.0015,5.53,3.3,2026-01-06T10:03:53.512365
100,10000,0.01,0.0,baseline,3,2219,1171,563,21,2052,0.00946372239747634,0.4807856532877882,0.0021,5.63,2.72,2026-01-06T10:03:53.874326
100,10000,0.01,0.0,baseline,4,2270,1214,527,12,2110,0.0052863436123348016,0.4341021416803954,0.0012,5.27,3.22,2026-01-06T10:03:54.241929
100,10000,0.02,0.0,baseline,0,2350,1226,562,10,2215,0.00425531914893617,0.45840130505709625,0.001,5.62,3.12,2026-01-06T10:03:54.607238
100,10000,0.02,0.0,baseline,1,2318,1188,538,9,2193,0.003882657463330457,0.45286195286195285,0.0009,5.38,2.74,2026-01-06T10:03:54.972871
100,10000,0.02,0.0,baseline,2,2290,1179,548,10,2147,0.004366812227074236,0.46480067854113655,0.001,5.48,2.36,2026-01-06T10:03:55.339534
100,10000,0.02,0.0,baseline,3,2166,1148,515,19,2006,0.008771929824561403,0.44860627177700346,0.0019,5.15,2.84,2026-01-06T10:03:55.713508
100,10000,0.02,0.0,baseline,4,2321,1250,560,11,2172,0.004739336492890996,0.448,0.0011,5.6,2.6,2026-01-06T10:03:56.087020
100,10000,0.05,0.0,baseline,0,2350,1254,566,8,2216,0.003404255319148936,0.4513556618819777,0.0008,5.66,2.8,2026-01-06T10:03:56.453401
100,10000,0.05,0.0,baseline,1,2304,1253,503,9,2165,0.00390625,0.4014365522745411,0.0009,5.03,2.6,2026-01-06T10:03:56.827511
100,10000,0.05,0.0,baseline,2,2251,1170,550,17,2078,0.007552199022656597,0.4700854700854701,0.0017,5.5,2.5,2026-01-06T10:03:57.198891
100,10000,0.05,0.0,baseline,3,2300,1204,548,12,2147,0.0052173913043478265,0.45514950166112955,0.0012,5.48,2.7,2026-01-06T10:03:57.569207
100,10000,0.05,0.0,baseline,4,2290,1194,556,11,2150,0.00480349344978166,0.4656616415410385,0.0011,5.56,2.92,2026-01-06T10:03:57.938299
