============================================================
SIMULATION RESULTS SUMMARY
Generated: 20260106_115701
============================================================

Type       Nodes    Prob     Eps    PDR      PLR      Throughput  
----------------------------------------------------------------------
baseline   50       0.001    0.00   0.0580   0.2953   0.006840    
baseline   50       0.005    0.00   0.0578   0.2895   0.006960    
baseline   50       0.010    0.00   0.0536   0.2991   0.006600    
baseline   50       0.020    0.00   0.0603   0.3102   0.007120    
baseline   50       0.050    0.00   0.0556   0.3014   0.006740    
baseline   100      0.001    0.00   0.0045   0.4392   0.001040    
baseline   100      0.005    0.00   0.0056   0.4475   0.001280    
baseline   100      0.010    0.00   0.0061   0.4579   0.001380    
baseline   100      0.020    0.00   0.0052   0.4545   0.001180    
baseline   100      0.050    0.00   0.0050   0.4487   0.001140    
baseline   250      0.001    0.00   0.0001   0.6887   0.000020    
baseline   250      0.005    0.00   0.0001   0.7002   0.000020    
baseline   250      0.010    0.00   0.0000   0.7000   0.000000    
baseline   250      0.020    0.00   0.0000   0.7011   0.000000    
baseline   250      0.050    0.00   0.0001   0.7089   0.000020    
baseline   500      0.001    0.00   0.0000   0.8276   0.000000    
baseline   500      0.005    0.00   0.0000   0.8242   0.000000    
baseline   500      0.010    0.00   0.0000   0.8310   0.000000    
baseline   500      0.020    0.00   0.0000   0.8311   0.000000    
baseline   500      0.050    0.00   0.0000   0.8261   0.000000    
baseline   1000     0.001    0.00   0.0000   0.9136   0.000000    
baseline   1000     0.005    0.00   0.0000   0.9065   0.000000    
baseline   1000     0.010    0.00   0.0000   0.9099   0.000000    
baseline   1000     0.020    0.00   0.0000   0.9072   0.000000    
baseline   1000     0.050    0.00   0.0000   0.9082   0.000000    
rl         50       0.001    0.00   0.2559   0.0324   0.003080    
rl         50       0.001    0.05   0.2416   0.1800   0.011280    
rl         50       0.001    0.10   0.2195   0.2269   0.011000    
rl         50       0.001    0.20   0.2181   0.2393   0.011500    
rl         50       0.001    0.30   0.2561   0.2238   0.013420    
rl         50       0.001    0.50   0.2083   0.2263   0.012600    
rl         50       0.005    0.00   0.2237   0.0530   0.003680    
rl         50       0.005    0.05   0.2421   0.1760   0.011280    
rl         50       0.005    0.10   0.2254   0.2265   0.010740    
rl         50       0.005    0.20   0.2089   0.2355   0.012680    
rl         50       0.005    0.30   0.2085   0.2430   0.012660    
rl         50       0.005    0.50   0.2273   0.2336   0.011600    
rl         50       0.010    0.00   0.2494   0.0404   0.003960    
rl         50       0.010    0.05   0.2359   0.1813   0.011080    
rl         50       0.010    0.10   0.2350   0.2075   0.011560    
rl         50       0.010    0.20   0.2250   0.2296   0.012380    
rl         50       0.010    0.30   0.2170   0.2346   0.012120    
rl         50       0.010    0.50   0.2158   0.2356   0.012380    
rl         50       0.020    0.00   0.2229   0.0284   0.004320    
rl         50       0.020    0.05   0.2467   0.1888   0.010920    
rl         50       0.020    0.10   0.2224   0.2218   0.011940    
rl         50       0.020    0.20   0.2206   0.2385   0.012660    
rl         50       0.020    0.30   0.2215   0.2368   0.012320    
