n_nodes,simulation_ticks,packet_probability,epsilon,node_type,run_id,total_packets_generated,total_packets_sent,total_packets_lost,total_data_packets_sent,total_timeouts,packet_delivery_ratio,packet_loss_ratio,throughput,avg_packet_loss_per_node,avg_near_nodes,timestamp
50,10000,0.001,0.0,baseline,0,1067,672,228,79,720,0.07403936269915651,0.3392857142857143,0.0079,4.56,1.8,2026-01-08T14:29:35.260502
50,10000,0.001,0.0,baseline,1,944,606,194,83,571,0.08792372881355932,0.3201320132013201,0.0083,3.88,1.4,2026-01-08T14:29:35.880720
50,10000,0.001,0.0,baseline,2,1053,672,225,78,691,0.07407407407407407,0.33482142857142855,0.0078,4.5,1.64,2026-01-08T14:29:36.407001
50,10000,0.001,0.0,baseline,3,1221,762,247,67,890,0.054873054873054876,0.3241469816272966,0.0067,4.94,1.36,2026-01-08T14:29:36.806352
50,10000,0.001,0.0,baseline,4,1116,717,226,78,757,0.06989247311827956,0.31520223152022314,0.0078,4.52,1.52,2026-01-08T14:29:37.253897
50,10000,0.005,0.0,baseline,0,1001,644,204,90,618,0.0899100899100899,0.3167701863354037,0.009,4.08,1.2,2026-01-08T14:29:37.804328
50,10000,0.005,0.0,baseline,1,1019,664,210,83,646,0.08145240431795878,0.31626506024096385,0.0083,4.2,1.44,2026-01-08T14:29:38.283883
50,10000,0.005,0.0,baseline,2,1121,693,242,81,763,0.07225691347011597,0.3492063492063492,0.0081,4.84,1.28,2026-01-08T14:29:38.721733
50,10000,0.005,0.0,baseline,3,1094,698,233,87,709,0.07952468007312614,0.333810888252149,0.0087,4.66,1.32,2026-01-08T14:29:39.169512
50,10000,0.005,0.0,baseline,4,1201,750,273,80,814,0.06661115736885928,0.364,0.008,5.46,1.48,2026-01-08T14:29:39.544793
50,10000,0.01,0.0,baseline,0,1206,733,248,70,865,0.05804311774461028,0.3383356070941337,0.007,4.96,1.08,2026-01-08T14:29:39.942115
50,10000,0.01,0.0,baseline,1,1098,695,219,79,744,0.07194899817850638,0.31510791366906477,0.0079,4.38,1.12,2026-01-08T14:29:40.415893
50,10000,0.01,0.0,baseline,2,1118,716,247,80,747,0.07155635062611806,0.34497206703910616,0.008,4.94,1.4,2026-01-08T14:29:40.828956
50,10000,0.01,0.0,baseline,3,1095,708,235,81,734,0.07397260273972603,0.3319209039548023,0.0081,4.7,1.64,2026-01-08T14:29:41.333905
50,10000,0.01,0.0,baseline,4,1040,660,222,86,669,0.08269230769230769,0.33636363636363636,0.0086,4.44,1.04,2026-01-08T14:29:41.969215
50,10000,0.02,0.0,baseline,0,1307,781,299,70,983,0.05355776587605203,0.382842509603073,0.007,5.98,1.6,2026-01-08T14:29:42.365380
50,10000,0.02,0.0,baseline,1,1184,747,247,78,823,0.06587837837837837,0.33065595716198126,0.0078,4.94,1.6,2026-01-08T14:29:42.847284
50,10000,0.02,0.0,baseline,2,1090,699,215,75,752,0.06880733944954129,0.30758226037195996,0.0075,4.3,1.2,2026-01-08T14:29:43.487549
50,10000,0.02,0.0,baseline,3,1164,720,266,79,800,0.06786941580756013,0.36944444444444446,0.0079,5.32,1.88,2026-01-08T14:29:43.929212
50,10000,0.02,0.0,baseline,4,1095,663,255,80,737,0.0730593607305936,0.38461538461538464,0.008,5.1,1.44,2026-01-08T14:29:44.504449
50,10000,0.05,0.0,baseline,0,1020,680,210,84,623,0.08235294117647059,0.3088235294117647,0.0084,4.2,1.28,2026-01-08T14:29:45.117057
50,10000,0.05,0.0,baseline,1,937,628,193,101,523,0.10779082177161152,0.3073248407643312,0.0101,3.86,1.76,2026-01-08T14:29:45.806739
50,10000,0.05,0.0,baseline,2,1081,683,225,80,729,0.07400555041628122,0.3294289897510981,0.008,4.5,1.32,2026-01-08T14:29:46.330067
50,10000,0.05,0.0,baseline,3,1052,680,207,76,704,0.07224334600760456,0.3044117647058823,0.0076,4.14,1.44,2026-01-08T14:29:46.914857
50,10000,0.05,0.0,baseline,4,1013,676,200,83,638,0.08193484698914116,0.2958579881656805,0.0083,4.0,1.12,2026-01-08T14:29:47.779370
100,10000,0.001,0.0,baseline,0,1919,1001,523,39,1666,0.020323084940072955,0.5224775224775224,0.0039,5.23,2.9,2026-01-08T14:29:48.836839
100,10000,0.001,0.0,baseline,1,1999,1033,545,40,1729,0.02001000500250125,0.5275895450145208,0.004,5.45,3.14,2026-01-08T14:29:49.603598
100,10000,0.001,0.0,baseline,2,2075,1064,559,27,1853,0.013012048192771084,0.525375939849624,0.0027,5.59,2.9,2026-01-08T14:29:50.291603
100,10000,0.001,0.0,baseline,3,1976,1018,553,40,1716,0.020242914979757085,0.5432220039292731,0.004,5.53,2.96,2026-01-08T14:29:50.978516
100,10000,0.001,0.0,baseline,4,1973,1019,525,39,1705,0.019766852508869743,0.5152109911678115,0.0039,5.25,2.58,2026-01-08T14:29:51.880478
100,10000,0.005,0.0,baseline,0,1963,995,520,38,1698,0.01935812531839022,0.5226130653266332,0.0038,5.2,2.72,2026-01-08T14:29:52.631963
100,10000,0.005,0.0,baseline,1,1961,973,523,33,1742,0.016828148903620603,0.5375128468653648,0.0033,5.23,2.8,2026-01-08T14:29:53.388819
100,10000,0.005,0.0,baseline,2,2026,1024,535,28,1813,0.013820335636722606,0.5224609375,0.0028,5.35,2.6,2026-01-08T14:29:53.978477
100,10000,0.005,0.0,baseline,3,1947,1001,538,34,1695,0.01746276322547509,0.5374625374625375,0.0034,5.38,3.14,2026-01-08T14:29:54.701287
100,10000,0.005,0.0,baseline,4,1918,1020,513,35,1673,0.01824817518248175,0.5029411764705882,0.0035,5.13,3.04,2026-01-08T14:29:55.466363
100,10000,0.01,0.0,baseline,0,2140,1066,576,31,1891,0.014485981308411215,0.5403377110694184,0.0031,5.76,2.7,2026-01-08T14:29:56.023123
100,10000,0.01,0.0,baseline,1,1913,971,536,39,1648,0.020386826973340304,0.5520082389289392,0.0039,5.36,2.76,2026-01-08T14:29:56.760856
100,10000,0.01,0.0,baseline,2,2041,1038,524,35,1792,0.0171484566389025,0.5048169556840078,0.0035,5.24,3.1,2026-01-08T14:29:57.352425
100,10000,0.01,0.0,baseline,3,2027,1030,549,32,1783,0.015786877158362113,0.5330097087378641,0.0032,5.49,2.68,2026-01-08T14:29:58.033992
100,10000,0.01,0.0,baseline,4,2049,1060,556,28,1815,0.013665202537823329,0.5245283018867924,0.0028,5.56,2.96,2026-01-08T14:29:58.548014
100,10000,0.02,0.0,baseline,0,1820,967,478,42,1537,0.023076923076923078,0.49431230610134436,0.0042,4.78,2.6,2026-01-08T14:29:59.568448
100,10000,0.02,0.0,baseline,1,1918,1046,524,42,1629,0.021897810218978103,0.5009560229445507,0.0042,5.24,3.06,2026-01-08T14:30:00.370948
100,10000,0.02,0.0,baseline,2,2039,1038,549,32,1827,0.01569396763119176,0.5289017341040463,0.0032,5.49,2.3,2026-01-08T14:30:00.997490
100,10000,0.02,0.0,baseline,3,1994,1033,534,32,1768,0.0160481444332999,0.5169409486931268,0.0032,5.34,2.94,2026-01-08T14:30:01.646644
100,10000,0.02,0.0,baseline,4,1976,1038,524,35,1741,0.01771255060728745,0.5048169556840078,0.0035,5.24,2.62,2026-01-08T14:30:02.438404
100,10000,0.05,0.0,baseline,0,1982,1025,526,34,1757,0.017154389505549948,0.5131707317073171,0.0034,5.26,2.7,2026-01-08T14:30:03.121597
100,10000,0.05,0.0,baseline,1,1914,957,524,39,1655,0.02037617554858934,0.5475444096133751,0.0039,5.24,2.84,2026-01-08T14:30:03.734800
100,10000,0.05,0.0,baseline,2,1925,987,531,38,1660,0.019740259740259742,0.5379939209726444,0.0038,5.31,3.02,2026-01-08T14:30:04.420839
100,10000,0.05,0.0,baseline,3,1946,983,532,39,1682,0.020041109969167522,0.5412004069175992,0.0039,5.32,2.78,2026-01-08T14:30:05.059958
100,10000,0.05,0.0,baseline,4,2029,1052,540,33,1787,0.016264169541646133,0.5133079847908745,0.0033,5.4,2.78,2026-01-08T14:30:05.778199
250,10000,0.001,0.0,baseline,0,3011,1328,1058,1,2928,0.00033211557622052476,0.7966867469879518,0.0001,4.232,6.816,2026-01-08T14:30:06.874401
250,10000,0.001,0.0,baseline,1,3004,1338,1061,1,2910,0.00033288948069241014,0.7929745889387145,0.0001,4.244,6.928,2026-01-08T14:30:07.947689
250,10000,0.001,0.0,baseline,2,2982,1328,1025,1,2896,0.00033534540576794097,0.7718373493975904,0.0001,4.1,7.104,2026-01-08T14:30:08.917886
250,10000,0.001,0.0,baseline,3,2965,1295,1008,0,2875,0.0,0.7783783783783784,0.0,4.032,6.704,2026-01-08T14:30:10.012368
250,10000,0.001,0.0,baseline,4,2980,1331,1029,1,2879,0.0003355704697986577,0.7731029301277235,0.0001,4.116,6.928,2026-01-08T14:30:10.995986
250,10000,0.005,0.0,baseline,0,2989,1356,1046,1,2877,0.00033456005352960856,0.7713864306784661,0.0001,4.184,7.008,2026-01-08T14:30:12.076506
250,10000,0.005,0.0,baseline,1,2927,1276,996,4,2830,0.0013665869490946361,0.780564263322884,0.0004,3.984,6.872,2026-01-08T14:30:13.043380
250,10000,0.005,0.0,baseline,2,2981,1331,1035,1,2873,0.0003354579000335458,0.777610818933133,0.0001,4.14,7.312,2026-01-08T14:30:14.137768
250,10000,0.005,0.0,baseline,3,2963,1326,1017,1,2865,0.0003374957813027337,0.7669683257918553,0.0001,4.068,7.24,2026-01-08T14:30:15.221007
250,10000,0.005,0.0,baseline,4,2987,1309,1026,0,2897,0.0,0.7838044308632544,0.0,4.104,7.0,2026-01-08T14:30:16.201983
250,10000,0.01,0.0,baseline,0,2982,1332,1038,1,2877,0.00033534540576794097,0.7792792792792793,0.0001,4.152,7.224,2026-01-08T14:30:17.296666
250,10000,0.01,0.0,baseline,1,2901,1280,983,3,2801,0.001034126163391934,0.76796875,0.0003,3.932,7.368,2026-01-08T14:30:18.260501
250,10000,0.01,0.0,baseline,2,2962,1314,1007,0,2867,0.0,0.7663622526636226,0.0,4.028,7.384,2026-01-08T14:30:19.324242
250,10000,0.01,0.0,baseline,3,3003,1337,1055,1,2909,0.000333000333000333,0.7890800299177263,0.0001,4.22,7.32,2026-01-08T14:30:20.283319
250,10000,0.01,0.0,baseline,4,3004,1328,1046,0,2903,0.0,0.7876506024096386,0.0,4.184,7.248,2026-01-08T14:30:21.241913
250,10000,0.02,0.0,baseline,0,2976,1333,1024,1,2875,0.0003360215053763441,0.768192048012003,0.0001,4.096,7.144,2026-01-08T14:30:22.314276
250,10000,0.02,0.0,baseline,1,3016,1317,1064,1,2914,0.0003315649867374005,0.8078967350037966,0.0001,4.256,7.024,2026-01-08T14:30:23.273213
250,10000,0.02,0.0,baseline,2,2962,1341,1035,2,2855,0.0006752194463200541,0.7718120805369127,0.0002,4.14,7.44,2026-01-08T14:30:24.228602
250,10000,0.02,0.0,baseline,3,2995,1335,1050,2,2894,0.000667779632721202,0.7865168539325843,0.0002,4.2,6.664,2026-01-08T14:30:25.295345
250,10000,0.02,0.0,baseline,4,2911,1321,995,3,2800,0.0010305736860185502,0.753217259651779,0.0003,3.98,7.24,2026-01-08T14:30:26.547225
250,10000,0.05,0.0,baseline,0,2993,1336,1036,0,2903,0.0,0.7754491017964071,0.0,4.144,7.016,2026-01-08T14:30:27.646455
250,10000,0.05,0.0,baseline,1,3010,1329,1056,0,2907,0.0,0.7945823927765236,0.0,4.224,7.536,2026-01-08T14:30:28.623877
250,10000,0.05,0.0,baseline,2,2932,1275,972,1,2844,0.00034106412005457026,0.7623529411764706,0.0001,3.888,6.896,2026-01-08T14:30:29.597904
250,10000,0.05,0.0,baseline,3,2945,1318,1020,3,2846,0.0010186757215619694,0.7738998482549317,0.0003,4.08,7.192,2026-01-08T14:30:30.693979
250,10000,0.05,0.0,baseline,4,2981,1340,1036,1,2876,0.0003354579000335458,0.7731343283582089,0.0001,4.144,7.2,2026-01-08T14:30:31.669393
500,10000,0.001,0.0,baseline,0,3284,1434,1291,0,3222,0.0,0.900278940027894,0.0,2.582,13.624,2026-01-08T14:30:33.766215
500,10000,0.001,0.0,baseline,1,3251,1384,1257,0,3189,0.0,0.9082369942196532,0.0,2.514,13.632,2026-01-08T14:30:35.868699
500,10000,0.001,0.0,baseline,2,3240,1417,1247,0,3170,0.0,0.8800282286520819,0.0,2.494,14.44,2026-01-08T14:30:37.972804
500,10000,0.001,0.0,baseline,3,3225,1379,1232,0,3158,0.0,0.8934010152284264,0.0,2.464,13.968,2026-01-08T14:30:40.075391
500,10000,0.001,0.0,baseline,4,3243,1381,1250,0,3189,0.0,0.9051412020275162,0.0,2.5,14.232,2026-01-08T14:30:42.147902
500,10000,0.005,0.0,baseline,0,3234,1379,1240,0,3170,0.0,0.8992023205221175,0.0,2.48,14.18,2026-01-08T14:30:44.276581
500,10000,0.005,0.0,baseline,1,3264,1431,1270,0,3201,0.0,0.8874912648497554,0.0,2.54,14.3,2026-01-08T14:30:46.385861
500,10000,0.005,0.0,baseline,2,3275,1408,1280,0,3216,0.0,0.9090909090909091,0.0,2.56,13.908,2026-01-08T14:30:48.614810
500,10000,0.005,0.0,baseline,3,3289,1419,1297,0,3226,0.0,0.9140239605355884,0.0,2.594,14.292,2026-01-08T14:30:50.685031
