============================================================
SIMULATION RESULTS SUMMARY
Generated: 20260108_160524
============================================================

Type       Nodes    Prob     Eps    PDR      PLR      Throughput  
----------------------------------------------------------------------
baseline   50       0.001    0.00   0.0722   0.3267   0.007700    
baseline   50       0.005    0.00   0.0780   0.3360   0.008420    
baseline   50       0.010    0.00   0.0716   0.3333   0.007920    
baseline   50       0.020    0.00   0.0658   0.3550   0.007640    
baseline   50       0.050    0.00   0.0837   0.3092   0.008480    
baseline   100      0.001    0.00   0.0187   0.5268   0.003700    
baseline   100      0.005    0.00   0.0171   0.5246   0.003360    
baseline   100      0.010    0.00   0.0163   0.5309   0.003300    
baseline   100      0.020    0.00   0.0189   0.5092   0.003660    
baseline   100      0.050    0.00   0.0187   0.5306   0.003660    
baseline   250      0.001    0.00   0.0003   0.7826   0.000080    
baseline   250      0.005    0.00   0.0005   0.7761   0.000140    
baseline   250      0.010    0.00   0.0003   0.7781   0.000100    
baseline   250      0.020    0.00   0.0006   0.7775   0.000180    
baseline   250      0.050    0.00   0.0003   0.7759   0.000100    
baseline   500      0.001    0.00   0.0000   0.8974   0.000000    
baseline   500      0.005    0.00   0.0000   0.9036   0.000000    
baseline   500      0.010    0.00   0.0000   0.8964   0.000000    
baseline   500      0.020    0.00   0.0000   0.8976   0.000000    
baseline   500      0.050    0.00   0.0000   0.8935   0.000000    
baseline   1000     0.001    0.00   0.0000   0.9501   0.000000    
baseline   1000     0.005    0.00   0.0000   0.9473   0.000000    
baseline   1000     0.010    0.00   0.0000   0.9506   0.000000    
baseline   1000     0.020    0.00   0.0000   0.9524   0.000000    
baseline   1000     0.050    0.00   0.0000   0.9500   0.000000    
rl         50       0.001    0.00   0.2423   0.0102   0.010360    
rl         50       0.001    0.05   0.0945   0.3685   0.009660    
rl         50       0.001    0.10   0.0785   0.3626   0.008920    
rl         50       0.001    0.20   0.0458   0.3583   0.006300    
rl         50       0.001    0.30   0.0468   0.3567   0.006260    
rl         50       0.001    0.50   0.0352   0.3437   0.004740    
rl         50       0.005    0.00   0.2463   0.0044   0.010120    
rl         50       0.005    0.05   0.1020   0.3417   0.010020    
rl         50       0.005    0.10   0.0664   0.3813   0.008260    
rl         50       0.005    0.20   0.0539   0.3594   0.006980    
rl         50       0.005    0.30   0.0397   0.3611   0.005640    
rl         50       0.005    0.50   0.0305   0.3376   0.004460    
rl         50       0.010    0.00   0.2463   0.0039   0.010080    
rl         50       0.010    0.05   0.1043   0.3530   0.010160    
rl         50       0.010    0.10   0.0608   0.4045   0.007940    
rl         50       0.010    0.20   0.0597   0.3416   0.007140    
rl         50       0.010    0.30   0.0351   0.3563   0.005140    
rl         50       0.010    0.50   0.0304   0.3310   0.004500    
rl         50       0.020    0.00   0.2458   0.0055   0.009960    
rl         50       0.020    0.05   0.1041   0.3505   0.010020    
rl         50       0.020    0.10   0.0708   0.3919   0.008540    
rl         50       0.020    0.20   0.0500   0.3645   0.006500    
rl         50       0.020    0.30   0.0391   0.3657   0.005540    
rl         50       0.020    0.50   0.0334   0.3397   0.004680    
rl         50       0.050    0.00   0.2457   0.0054   0.010080    
rl         50       0.050    0.05   0.0923   0.3735   0.009620    
rl         50       0.050    0.10   0.0679   0.3750   0.008100    
rl         50       0.050    0.20   0.0496   0.3676   0.006600    
rl         50       0.050    0.30   0.0412   0.3682   0.005820    
rl         50       0.050    0.50   0.0309   0.3451   0.004500    
rl         100      0.001    0.00   0.2451   0.0068   0.010200    
rl         100      0.001    0.05   0.0366   0.5250   0.006420    
rl         100      0.001    0.10   0.0197   0.5130   0.004200    
rl         100      0.001    0.20   0.0068   0.4758   0.001680    
rl         100      0.001    0.30   0.0016   0.4513   0.000440    
rl         100      0.001    0.50   0.0012   0.4476   0.000320    
rl         100      0.005    0.00   0.2446   0.0074   0.009960    
rl         100      0.005    0.05   0.0355   0.5360   0.006420    
rl         100      0.005    0.10   0.0203   0.5225   0.004340    
rl         100      0.005    0.20   0.0088   0.4831   0.002160    
rl         100      0.005    0.30   0.0031   0.4597   0.000820    
rl         100      0.005    0.50   0.0013   0.4364   0.000340    
rl         100      0.010    0.00   0.2384   0.0196   0.010180    
rl         100      0.010    0.05   0.0338   0.5419   0.006200    
rl         100      0.010    0.10   0.0169   0.5111   0.003720    
rl         100      0.010    0.20   0.0100   0.4757   0.002260    
rl         100      0.010    0.30   0.0021   0.4537   0.000580    
rl         100      0.010    0.50   0.0012   0.4349   0.000320    
rl         100      0.020    0.00   0.2453   0.0063   0.010100    
rl         100      0.020    0.05   0.0351   0.5367   0.006300    
rl         100      0.020    0.10   0.0191   0.5278   0.004100    
rl         100      0.020    0.20   0.0074   0.4572   0.001800    
rl         100      0.020    0.30   0.0024   0.4473   0.000640    
rl         100      0.020    0.50   0.0006   0.4337   0.000160    
rl         100      0.050    0.00   0.2453   0.0074   0.010040    
rl         100      0.050    0.05   0.0371   0.5333   0.006620    
rl         100      0.050    0.10   0.0166   0.5121   0.003640    
rl         100      0.050    0.20   0.0090   0.4850   0.002140    
rl         100      0.050    0.30   0.0018   0.4503   0.000480    
rl         100      0.050    0.50   0.0011   0.4249   0.000300    
rl         250      0.001    0.00   0.2359   0.0253   0.010080    
rl         250      0.001    0.05   0.0048   0.6886   0.001420    
rl         250      0.001    0.10   0.0005   0.6854   0.000160    
rl         250      0.001    0.20   0.0000   0.6896   0.000000    
rl         250      0.001    0.30   0.0000   0.6963   0.000000    
rl         250      0.001    0.50   0.0000   0.6987   0.000000    
rl         250      0.005    0.00   0.2390   0.0171   0.010160    
rl         250      0.005    0.05   0.0038   0.6870   0.001120    
rl         250      0.005    0.10   0.0003   0.6756   0.000100    
rl         250      0.005    0.20   0.0000   0.6810   0.000000    
rl         250      0.005    0.30   0.0000   0.7042   0.000000    
rl         250      0.005    0.50   0.0000   0.7196   0.000000    
rl         250      0.010    0.00   0.2448   0.0074   0.010060    
rl         250      0.010    0.05   0.0043   0.6903   0.001300    
rl         250      0.010    0.10   0.0002   0.6784   0.000080    
rl         250      0.010    0.20   0.0000   0.6900   0.000000    
rl         250      0.010    0.30   0.0000   0.6996   0.000000    
rl         250      0.010    0.50   0.0000   0.7123   0.000000    
rl         250      0.020    0.00   0.2430   0.0103   0.010040    
rl         250      0.020    0.05   0.0040   0.6883   0.001200    
rl         250      0.020    0.10   0.0002   0.6807   0.000080    
rl         250      0.020    0.20   0.0000   0.6881   0.000000    
rl         250      0.020    0.30   0.0000   0.6996   0.000000    
rl         250      0.020    0.50   0.0000   0.7074   0.000000    
rl         250      0.050    0.00   0.2415   0.0135   0.010120    
rl         250      0.050    0.05   0.0043   0.6828   0.001280    
rl         250      0.050    0.10   0.0005   0.6815   0.000160    
rl         250      0.050    0.20   0.0000   0.6879   0.000000    
rl         250      0.050    0.30   0.0000   0.6895   0.000000    
rl         250      0.050    0.50   0.0000   0.7101   0.000000    
rl         500      0.001    0.00   0.2377   0.0184   0.009860    
rl         500      0.001    0.05   0.0005   0.8035   0.000160    
rl         500      0.001    0.10   0.0000   0.8135   0.000000    
rl         500      0.001    0.20   0.0000   0.8319   0.000000    
rl         500      0.001    0.30   0.0000   0.8388   0.000000    
rl         500      0.001    0.50   0.0000   0.8535   0.000000    
rl         500      0.005    0.00   0.2406   0.0153   0.010080    
rl         500      0.005    0.05   0.0004   0.8055   0.000140    
rl         500      0.005    0.10   0.0000   0.8155   0.000000    
rl         500      0.005    0.20   0.0000   0.8376   0.000000    
rl         500      0.005    0.30   0.0000   0.8465   0.000000    
rl         500      0.005    0.50   0.0000   0.8511   0.000000    
rl         500      0.010    0.00   0.2381   0.0201   0.010040    
rl         500      0.010    0.05   0.0003   0.8026   0.000100    
rl         500      0.010    0.10   0.0000   0.8186   0.000000    
rl         500      0.010    0.20   0.0000   0.8323   0.000000    
rl         500      0.010    0.30   0.0000   0.8496   0.000000    
rl         500      0.010    0.50   0.0000   0.8585   0.000000    
rl         500      0.020    0.00   0.2365   0.0246   0.010140    
rl         500      0.020    0.05   0.0001   0.8056   0.000040    
rl         500      0.020    0.10   0.0000   0.8181   0.000000    
rl         500      0.020    0.20   0.0000   0.8276   0.000000    
rl         500      0.020    0.30   0.0000   0.8413   0.000000    
rl         500      0.020    0.50   0.0000   0.8490   0.000000    
